id,RT1_J,T1_Ja,RT1_I,RT1_T,mean_confidence_interval_inf,T1_I,T1_J,technique,T1_T,SCR,T1_Ia,U1_T,T1_Ta,U1_J,U1_I,VEC,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
73,4,16,8,8,2.487136156009028,32,8,RS,32,True,1024,1,64,16,29,False,False,10,3.847076812334076e-05,2.48716,True,False,2.4871838439909717
74,16,2048,1,4,0.9806873171345825,1,8,RS,32,False,32,13,512,1,4,True,False,10,0.003830432226263766,0.9830614000000001,True,True,0.9854354828654177
75,2,512,4,16,inf,64,512,RS,32,False,128,1,32,22,2,False,False,1,inf,inf,False,False,inf
76,2,256,1,32,inf,512,32,RS,1,False,1024,19,128,20,1,False,False,1,inf,inf,False,False,inf
77,2,16,1,2,1.8129246063295317,256,8,RS,8,False,1024,27,1024,1,16,False,False,10,0.003921286141051157,1.8153549999999998,True,True,1.817785393670468
78,2,256,1,1,0.09414588456914076,2,128,RS,1,True,64,18,8,29,1,False,False,10,0.012352544037650704,0.10180193,True,True,0.10945797543085924
79,16,1024,1,4,0.5874026804923212,128,16,RS,512,True,2048,1,2048,19,7,True,False,10,3.439767433999106e-05,0.5874240000000001,True,False,0.5874453195076789
80,4,256,2,2,2.0103377776248417,32,256,RS,4,False,256,29,32,1,26,True,False,10,0.028254860820750776,2.02785,True,True,2.045362222375158
81,1,256,16,4,3.0500544021172735,1,8,RS,32,True,4,1,1,14,21,False,False,10,0.4659501655069992,3.338848,True,True,3.6276415978827266
82,1,2048,4,1,inf,8,1024,RS,128,True,16,25,512,15,1,True,False,1,inf,inf,False,False,inf
83,16,128,2,1,3.9715653124914443,4,8,RS,1,False,2048,1,512,13,8,False,False,10,0.00015115885683606776,3.9716590000000003,True,False,3.9717526875085563
84,4,128,16,4,1.1749124091323186,16,1,RS,1024,True,16,1,2048,14,20,True,False,10,0.002622787829771991,1.176538,True,True,1.1781635908676815
85,8,2048,8,1,0.18593121662328374,512,256,RS,16,True,2048,1,1,20,20,False,False,10,0.015360857832816497,0.1954518,True,True,0.20497238337671628
86,16,128,4,1,2.5368332440581742,128,128,RS,16,False,128,1,16,13,19,True,False,10,6.575712889109295e-05,2.5368739999999996,True,False,2.536914755941825
87,2,256,2,4,2.762904048779821,1,128,RS,128,False,256,1,1024,21,9,False,False,10,0.0028202085029303326,2.7646520000000003,True,True,2.76639995122018
88,1,1,8,8,1.754473446751489,2,2048,RS,2,False,2048,6,256,6,1,True,False,10,0.004495927045671411,1.75726,True,True,1.760046553248511
89,4,32,1,2,1.2761923617798356,1,32,RS,4,True,2048,22,1,8,1,True,False,10,0.03816848633362349,1.299849,True,True,1.3235056382201644
90,4,1024,16,4,1.9226420709652217,2,128,RS,4,False,8,16,1,22,1,True,False,10,7.73304597167433e-05,1.92269,True,False,1.9227379290347784
91,1,1,4,4,1.08867492687035,8,512,RS,8,True,1,1,1024,1,4,True,False,10,0.0028284723792181775,1.090428,True,True,1.09218107312965
92,2,64,16,1,1.4937005201274582,16,64,RS,32,True,256,1,32,20,2,True,False,10,2.981610303172604e-05,1.493719,True,False,1.4937374798725418
93,4,2048,1,16,1.040403406833729,1,2048,RS,4,False,512,1,32,7,10,False,False,10,2.193171219946831e-05,1.0404170000000001,True,False,1.0404305931662714
94,2,256,4,1,1.8503196934370503,256,4,RS,1,False,1,16,2,1,3,True,False,10,5.6964901474493705e-05,1.850355,True,False,1.8503903065629497
95,16,1024,4,1,inf,128,8,RS,2,True,256,24,64,1,3,True,False,1,inf,inf,False,True,inf
96,32,128,2,2,1.3022674829866778,4,128,RS,128,True,128,26,512,1,14,True,False,10,0.008032521646407179,1.307246,True,True,1.312224517013322
97,2,1,2,4,1.0712319101262684,32,1,RS,64,True,2048,26,256,1,24,True,False,10,0.009461337326192342,1.077096,True,True,1.0829600898737317
98,1,2048,4,16,0.7447783690574389,1024,1,RS,8,True,2048,22,8,30,1,False,False,10,0.011214241128582887,0.7517289,True,False,0.7586794309425612
99,16,1024,1,1,inf,256,128,RS,4,True,512,2,8,1,30,False,False,1,inf,inf,False,True,inf
100,16,1024,2,1,0.5611584749587973,2,32,RS,1,True,8,14,512,1,10,False,False,10,0.005183850908349875,0.5643714000000001,True,True,0.5675843250412028
101,1,1,2,2,inf,2,512,RS,8,False,128,20,1,29,1,False,False,1,inf,inf,False,False,inf
102,32,1024,1,2,2.917239858659041,1,64,RS,32,False,256,19,1024,12,1,True,False,10,0.003406192742638027,2.919351,True,True,2.9214621413409585
103,2,64,4,16,1.0743645045146497,4,32,RS,64,True,512,30,2048,1,29,False,False,10,1.854723699101714e-05,1.0743759999999998,True,False,1.0743874954853498
104,1,1,32,2,3.0938628106618586,8,32,RS,128,False,128,4,1,1,28,True,False,10,0.45004908848813374,3.372801,True,True,3.6517391893381412
105,2,256,2,16,2.9162433592993593,64,256,RS,2,False,256,1,1024,19,3,True,False,10,4.9436828377265924e-05,2.9162740000000005,True,False,2.9163046407006417
106,2,8,1,2,2.569397294259001,8,2,RS,16,True,1024,28,64,1,12,True,False,10,2.211334438751634e-05,2.569411,True,False,2.569424705740999
107,32,16,1,1,0.1960956452548119,16,8,RS,1,False,32,1,1,17,10,False,False,10,0.0365965417000022,0.218778,True,True,0.2414603547451881
108,2,512,4,2,1.088575648684031,512,256,RS,32,True,1024,13,1,24,1,False,False,10,2.638181191652846e-05,1.088592,True,False,1.088608351315969
109,2,2,2,2,4.304654229985729,8,1,RS,16,False,1,1,1024,29,1,False,False,10,0.0014452681412110615,4.30555,True,False,4.306445770014271
110,4,2048,4,1,inf,256,64,RS,4,False,1,28,64,12,1,True,False,1,inf,inf,False,False,inf
111,2,256,8,1,3.1382428203075294,2,4,RS,1,False,8,24,8,1,1,False,False,10,7.128113354876361e-05,3.138287,True,False,3.1383311796924707
112,2,16,1,4,2.8003850366298253,16,2,RS,4,False,32,3,4,1,28,False,False,10,3.382306905051613e-05,2.800406,True,False,2.800426963370175
113,1,32,4,16,1.4403405836794367,2048,2,RS,1,False,2048,10,64,1,13,False,False,10,0.007574143185865992,1.4450349999999998,True,False,1.449729416320563
114,4,1,2,2,inf,32,1024,RS,64,True,64,30,64,1,16,True,False,1,inf,inf,False,True,inf
115,1,32,1,4,1.6315687354509565,64,1,RS,128,False,256,1,1,11,24,True,False,10,3.2695565448564956e-05,1.631589,True,False,1.6316092645490434
116,8,1024,8,4,1.8474094904665967,16,64,RS,16,False,64,21,1024,1,11,False,False,10,0.007784040339052686,1.852234,True,True,1.8570585095334031
117,2,32,32,1,1.8683829005093902,32,2,RS,1,True,2048,1,2048,9,18,True,False,10,0.0073106418322880255,1.8729140000000002,True,True,1.8774450994906102
118,4,2048,2,8,1.7134509799803472,1024,512,RS,1,False,1024,1,512,29,22,False,False,10,0.0035173241249563517,1.7156310000000001,True,True,1.717811020019653
119,8,256,1,8,2.9071255192316365,8,1,RS,1,False,1,8,4,11,1,True,False,10,9.274157643698354e-05,2.9071830000000003,True,False,2.907240480768364
120,1,256,16,1,inf,256,32,RS,16,False,256,27,1,1,9,True,False,1,inf,inf,False,False,inf
121,4,32,4,2,1.336437626731802,512,32,RS,32,True,1,1,512,9,30,True,False,10,0.007522443751866817,1.3410999999999997,True,True,1.3457623732681974
122,2,4,4,16,inf,1,4,RS,256,False,1,1,256,6,24,False,False,1,inf,inf,False,False,inf
123,1,64,1,16,inf,512,32,RS,512,False,1024,1,1,13,17,True,False,1,inf,inf,False,False,inf
124,8,1,2,4,1.1008976335435146,32,128,RS,32,True,1024,13,1024,1,23,False,False,10,0.002006092968932379,1.102141,True,True,1.1033843664564855
125,8,1,2,2,1.859334054842049,2048,64,RS,1,False,1,1,1024,19,21,False,False,10,4.670117771533699e-05,1.8593629999999997,True,False,1.8593919451579504
126,2,256,16,4,3.29064441031903,1,2,RS,1,False,4,26,512,7,1,False,False,10,0.002338821070539563,3.292094,True,True,3.29354358968097
127,8,2048,2,8,inf,16,512,RS,4,False,1024,20,1,1,15,True,False,1,inf,inf,False,False,inf
128,1,1,4,1,0.7885971112025428,16,256,RS,128,True,128,1,1024,18,21,True,False,10,5.290264643662805e-05,0.7886299,True,False,0.7886626887974572
129,1,16,4,4,0.11758597245789881,1024,8,RS,2,True,2048,26,8,27,1,True,False,10,0.007540279122154566,0.12225940000000002,True,True,0.12693282754210122
130,2,2048,16,1,inf,256,256,RS,1,False,1024,23,32,1,14,False,False,1,inf,inf,False,False,inf
131,2,32,1,2,0.8272668944771191,16,4,RS,1,True,128,26,256,1,9,False,False,10,2.4049116407880127e-05,0.8272818000000001,True,False,0.827296705522881
132,2,4,8,4,inf,16,2,RS,2,False,64,15,1,1,2,False,False,1,inf,inf,False,False,inf
133,1,1,2,16,1.387394256924697,1,2,RS,2048,True,2,19,2048,1,23,True,False,10,9.800510190798209e-05,1.387455,True,False,1.3875157430753031
134,1,256,4,2,0.6678610695145962,8,256,RS,2,True,1024,1,1024,11,25,True,False,10,0.0017196499323990275,0.6689269,True,True,0.6699927304854038
135,4,512,1,16,2.723335626987256,1024,2,RS,256,False,1024,6,2048,25,1,True,False,10,0.0025982347853878477,2.724946,True,True,2.7265563730127442
136,8,1,1,4,0.48044983614965486,32,256,RS,512,True,64,6,1,1,4,False,False,10,0.00438832792872182,0.48316970000000004,True,True,0.4858895638503452
137,2,32,2,8,2.2730074352205905,1,32,RS,8,True,16,22,64,12,1,False,False,10,8.642337646729346e-05,2.2730609999999998,True,False,2.273114564779409
138,16,512,2,4,2.781914897146888,1024,2,RS,128,False,1,1,512,13,10,False,False,10,0.0031124851806875607,2.7838439999999998,True,True,2.7857731028531116
139,2,1024,2,1,0.9154172623692259,1,16,RS,128,True,16,2,512,1,13,False,False,10,0.0024102123329698575,0.9169110999999999,True,True,0.9184049376307738
140,32,64,1,2,1.6526454350859914,2,16,RS,8,True,256,1,512,10,23,False,False,10,0.003423010517074137,1.654767,True,True,1.6568885649140088
141,16,32,2,4,1.485259031373706,32,2,RS,512,True,32,13,1024,1,23,False,False,10,0.003086453628357336,1.4871720000000002,True,True,1.4890849686262944
142,4,128,1,2,inf,2,128,RS,1,False,2048,30,2,1,19,True,False,1,inf,inf,False,False,inf
143,1,2,1,8,2.7886083028408595,4,2,RS,1,False,2048,23,1,1,20,False,False,10,8.502352615603668e-05,2.788661,True,False,2.78871369715914
144,2,2048,32,2,11.149907720099641,1,8,RS,8,False,256,1,32,22,13,True,False,10,0.00011661903789663422,11.149980000000001,True,False,11.150052279900361
145,1,1,32,1,0.17974891131678986,1024,256,RS,32,True,1,9,1,25,1,False,False,10,0.012649163472736051,0.18758879999999997,True,True,0.1954286886832101
146,2,1,16,1,0.1522408788105682,2,2,RS,4,False,1,12,1,30,1,True,False,10,0.013656323055639828,0.16070500000000001,True,True,0.16916912118943184
147,1,16,32,1,2.006122549572565,32,1,RS,1024,False,2048,21,2048,1,19,True,False,10,0.00512661486753198,2.0093,True,True,2.012477450427435
148,1,1024,1,2,2.790740843474696,4,1024,RS,128,False,256,15,256,1,17,False,False,10,4.2201895692032836e-05,2.7907669999999998,True,False,2.7907931565253037
149,2,1,1,8,0.19317816445830435,32,32,RS,4,False,64,5,16,1,10,False,False,10,0.030754902101778833,0.21223989999999998,True,True,0.2313016355416956
150,16,4,4,4,1.4685471593579187,32,2,RS,64,False,1024,2,64,17,1,True,False,10,4.975942121848398e-05,1.4685780000000002,True,False,1.4686088406420816
151,8,1,4,1,0.5554864619569241,256,256,RS,128,True,512,13,256,1,8,False,False,10,8.541217711778217e-05,0.5555394,True,False,0.555592338043076
152,16,2048,4,4,2.5090111260213837,4,128,RS,4,False,512,8,4,24,1,True,False,10,0.12043638636641335,2.5836569999999996,True,True,2.6583028739786156
153,1,2048,32,1,1.2617105886141506,64,512,RS,2,True,64,18,512,1,19,True,False,10,2.0024984394481172e-05,1.2617230000000004,True,False,1.26173541138585
154,4,2048,2,2,1.0975168258432773,2,128,RS,32,True,4,20,1,12,1,False,False,10,2.6095976701432896e-05,1.0975329999999999,True,False,1.0975491741567225
155,1,1024,4,2,1.4258962570829627,32,16,RS,8,False,128,17,2048,1,18,True,False,10,0.00940592068858756,1.431726,True,True,1.4375557429170374
156,1,1,4,2,1.869370758630538,2,32,RS,256,False,8,3,256,14,1,True,False,10,0.004884262073230726,1.872398,True,True,1.875425241369462
157,1,256,1,1,inf,32,1,RS,4,True,64,18,128,1,9,True,False,1,inf,inf,False,True,inf
158,1,1,1,8,4.134232583935273,32,4,RS,16,True,1024,1,32,2,21,True,False,10,2.325940669936121e-05,4.134247,True,False,4.134261416064727
159,8,2,4,4,1.0844373900918745,16,2,RS,1,True,2048,22,1,23,1,False,False,10,5.745432968886311e-05,1.084473,True,False,1.0845086099081256
160,1,64,1,1,1.327733506856447,64,1,RS,2,False,2048,1,32,7,25,True,False,10,0.00026862613424609303,1.3279,True,False,1.328066493143553
161,2,256,4,1,1.8889651090876125,8,2,RS,128,False,1,23,1,26,1,False,False,10,0.173129640154423,1.9962700000000002,True,True,2.103574890912388
162,8,2048,4,4,1.4009990025201062,4,4,RS,8,True,256,23,32,17,1,False,False,10,0.4098048294054134,1.6549939999999999,True,True,1.9089889974798935
163,1,64,2,32,inf,32,64,RS,32,False,256,27,256,1,28,True,False,1,inf,inf,False,False,inf
164,8,128,1,1,1.4840567995681986,8,32,RS,16,False,1,14,1024,7,1,False,False,10,0.0025624607314064713,1.4856449999999999,True,True,1.4872332004318012
165,8,2048,8,2,1.4822168928093002,64,2048,RS,32,False,64,30,2048,1,6,False,False,10,0.00448875361319822,1.4849989999999997,True,True,1.4877811071906992
166,4,256,16,1,inf,4,256,RS,64,False,128,27,128,14,1,True,False,1,inf,inf,False,False,inf
167,2,512,16,1,3.0324525084385634,32,4,RS,1,False,1024,1,1,23,3,True,False,10,8.953211714242759e-05,3.032508,True,False,3.0325634915614366
168,8,1024,8,2,3.338020771230932,8,256,RS,32,False,64,1,128,8,27,True,False,10,1.012194670932425,3.9653739999999997,True,True,4.592727228769067
169,8,2048,4,8,2.006031105948868,1,32,RS,8,False,16,1,64,17,23,True,False,10,0.3444782273540666,2.219537,True,True,2.4330428940511317
170,4,2048,2,16,inf,128,2,RS,1,False,128,10,1,24,1,False,False,1,inf,inf,False,False,inf
171,16,32,4,1,0.3605414036157516,1,16,RS,32,False,16,30,1,1,9,False,False,10,0.11059962215147935,0.42909050000000004,True,True,0.4976395963842485
