id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
57,1024,32,DLMT,1,2,True,1,2,0.0009319442043384663,False,2048,8,4,False,3.869452385611766,2,16,1024,2048,True,True,True,2,False,64,True,256,True,4,8,256,False,1,12,16,1,8,4,1,False,10,3.8706076143882338,1,3.87003,4,1,32,True,32,4,4,1,False,16,2,16,1
58,128,32,DLMT,1,1,False,2,2,0.002189826705472271,True,8,32,8,False,4.181665756286341,16,2,1,512,False,True,False,1,True,32,False,2048,False,12,8,128,False,4,1,1,12,12,1,8,False,10,4.18438024371366,8,4.183023,1,16,1,True,2048,2048,8,64,False,1,4,4,8
59,512,4,DLMT,2,1,False,16,128,0.0005667944953860612,True,1,8,32,True,2.9761167035874223,32,4,1,128,True,False,True,256,True,128,False,256,False,16,16,256,True,1,16,1,4,12,4,1,False,10,2.976819296412578,16,2.976468,4,8,4,True,512,512,12,512,False,16,1,4,1
60,1024,1024,DLMT,8,1,True,32,2,0.0001161034021896338,True,4,8,4,False,4.879408039688089,256,1,1024,32,True,True,False,2,True,1024,False,1,False,8,4,512,True,1,1,1,4,4,8,1,False,10,4.879551960311911,12,4.87948,1,16,8,True,256,2048,8,256,False,1,32,4,12
61,128,16,DLMT,16,16,False,8,128,0.00020199999999992292,True,8,8,2,True,2.7526508014034743,16,1,512,64,True,False,False,8,True,4,True,256,True,4,12,512,True,16,1,1,4,16,4,1,False,10,2.7529011985965255,8,2.752776,4,32,1,True,512,1024,8,256,False,12,16,1,1
62,16,2048,DLMT,2,8,False,1,2,0.00014966963619916134,False,128,2,4,False,1.949504235502997,1024,64,16,128,True,False,True,32,True,128,False,1024,False,4,1,2048,True,1,4,1,8,16,4,1,False,10,1.949689764497003,4,1.949597,8,4,4,True,1,1,4,4,True,12,8,8,1
63,64,32,DLMT,4,8,True,16,32,0.00015957443404257976,False,2,16,16,False,5.037085096558498,1,4,256,4,False,True,True,8,False,128,True,512,True,16,1,64,True,16,1,4,1,4,1,16,False,10,5.037282903441503,12,5.037184000000001,12,8,16,True,8,128,12,16,False,1,8,1,12
64,16,64,DLMT,4,4,False,4,32,0.0008850994294428001,True,2,2,1,False,1.9908284197705357,2048,32,256,1024,True,True,False,8,False,64,True,64,True,12,4,1,False,12,1,16,1,4,1,16,False,10,1.9919255802294642,16,1.991377,12,2,16,True,2048,1024,1,2048,True,1,4,32,1
65,512,2048,DLMT,2,16,False,2,32,0.0004086856983061677,False,8,8,2,False,2.9996826986344165,4,2048,512,1,False,True,True,8,True,4,False,4,False,12,16,1,True,1,8,1,1,16,12,1,False,10,3.0001893013655843,16,2.9999360000000004,12,1,16,True,512,1,16,64,False,8,4,1,1
66,16,1,DLMT,4,1,True,16,1024,0.0026250220951450466,True,64,32,4,True,2.5871660243457395,1,2048,1,1024,True,False,True,2048,False,16,True,1024,False,4,12,128,False,1,8,1,1,8,12,1,False,10,2.5904199756542603,16,2.588793,12,1,8,True,1,1024,16,32,False,16,8,8,1
