id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
79,2048,2048,128,0.3075562088620715,1,128,16,32,RS,False,False,False,False,False,14,1,35,0.3077784197093571,0.00033536766787074497,0.3076673142857143,19,18,True,1,32
80,128,1024,64,0.26313561362829097,32,32,16,1,RS,False,False,False,True,False,4,1,35,0.2631770149431376,6.248417922211391e-05,0.2631563142857143,27,1,True,28,1
81,1024,512,1024,0.09806250973503605,8,64,64,512,RS,True,False,True,False,False,19,8,35,0.09809531883639253,4.951653774451528e-05,0.09807891428571429,15,14,True,1,1
82,128,2048,64,inf,32,32,256,32,RS,False,False,False,True,True,26,1,1,inf,inf,inf,1,8,False,14,1
83,1,512,1024,0.1972415633245442,32,256,64,64,RS,True,False,False,True,False,23,1,35,0.19727923667545574,5.6857817655723796e-05,0.19726039999999997,8,1,True,16,1
84,1,1024,2048,0.2507736503997791,1,512,512,256,RS,False,True,True,True,False,3,1,35,0.2510809781716496,0.0004638288336647175,0.25092731428571435,14,26,True,1,32
85,1,2048,512,0.23913572109770692,1,512,128,1,RS,True,False,False,True,True,1,1,35,0.23937753604515022,0.0003649547984312026,0.23925662857142857,1,2,True,8,32
86,2048,128,512,0.09199089253494837,8,512,64,256,RS,False,True,True,True,False,22,1,35,0.09201449603648022,3.562315413048245e-05,0.0920026942857143,10,1,True,27,8
87,2048,64,64,0.26237085831470924,1,1,16,128,RS,True,True,True,False,True,4,1,35,0.26252679882814783,0.0002353503753633542,0.26244882857142854,15,1,True,16,32
88,64,512,512,0.13134421315649908,32,256,32,16,RS,True,True,False,False,False,17,1,35,0.13142298684350084,0.0001188877501799779,0.13138359999999996,21,7,True,1,1
89,512,512,1,0.11131374874706462,1,64,16,64,RS,False,True,True,False,True,17,8,35,0.11133533696722112,3.258162747591941e-05,0.11132454285714287,13,30,True,1,8
90,1,512,1,0.10692633758643119,8,256,128,128,RS,True,True,False,True,True,19,1,35,0.10698440527071165,8.763759327538685e-05,0.10695537142857142,1,30,True,16,8
91,256,2048,512,0.21381500421392652,1,512,16,32,RS,True,False,False,True,True,13,1,35,0.2139188243575021,0.0001566886578862803,0.2138669142857143,1,15,True,3,32
92,512,512,512,inf,32,256,512,16,RS,True,False,True,True,True,26,1,1,inf,inf,inf,2,7,False,1,1
93,2048,512,512,0.12002993783475042,1,512,512,128,RS,False,False,False,True,False,16,1,35,0.12007309073667814,6.512773007321693e-05,0.12005151428571428,1,4,True,20,8
94,512,256,1024,0.10525613140233388,1,256,256,1,RS,False,False,True,True,False,25,1,35,0.10527872574052329,3.4100092764252425e-05,0.10526742857142858,1,12,True,15,8
95,1024,1024,2048,0.17531452172030998,32,16,32,1,RS,True,False,True,True,False,4,1,35,0.17533239256540428,2.6971246972755238e-05,0.17532345714285713,24,1,True,23,1
96,512,2048,2048,0.20646419763896798,32,512,128,64,RS,False,True,False,False,False,23,1,35,0.20653185950388916,0.00010211743539790353,0.20649802857142857,23,1,True,21,1
97,1024,2048,1024,0.09214191455741765,1,128,64,128,RS,False,True,False,False,True,8,8,35,0.09217157115686804,4.475868174820181e-05,0.09215674285714284,6,16,True,1,8
98,1,512,1,inf,1,256,512,512,RS,False,True,False,True,False,27,32,1,inf,inf,inf,1,9,False,18,1
99,1,1,128,0.11919206809524481,1,16,16,16,RS,True,False,False,False,True,14,8,35,0.11938650333332664,0.000293447836340739,0.11928928571428572,26,1,True,3,8
100,512,1024,512,0.09848535707294914,1,512,256,32,RS,True,False,False,False,True,6,8,35,0.09852006006990802,5.237486513547563e-05,0.09850270857142858,1,10,True,5,8
101,256,2048,2048,0.228863783794156,1,256,16,64,RS,True,False,True,True,True,14,1,35,0.229056216205844,0.00029042510713976345,0.22896,25,1,True,17,32
102,512,1,2048,0.09490565675838537,1,512,1,128,RS,True,False,False,True,True,20,8,35,0.09508746324161464,0.00027438811844330413,0.09499656000000001,1,26,True,5,8
103,1024,128,1024,0.27918436999364943,8,16,64,16,RS,True,False,True,True,True,26,8,35,0.2792491157206362,9.771630741434349e-05,0.2792167428571428,3,1,True,30,1
104,2048,512,512,0.19483235875948146,1,64,1,256,RS,True,False,False,True,False,3,8,35,0.19486804124051854,5.385313361356197e-05,0.1948502,22,1,True,22,1
105,512,1024,2048,0.21786999995448336,1,512,512,512,RS,False,True,True,True,False,19,1,35,0.21789382861694517,3.596297415681703e-05,0.21788191428571427,18,1,True,23,1
