id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
126,32,2048,128,2048,2.972112223927054,8,16,64,RS,500,10,True,1024,2048,512,1,8,6,True,1,2,False,10,0.00026424231303867206,2.972276,True,False,2.972439776072946
127,64,32,8,1024,4.282287616778505,8,8,128,RS,500,10,False,1024,1024,256,4,7,1,False,1,3,False,10,0.00013614697940088477,4.2823720000000005,True,False,4.282456383221496
128,512,16,4,4,6.6900269389824825,1,16,128,RS,500,10,True,256,512,1024,1,1,1,False,1,26,False,10,0.0008552198547741413,6.690557,True,False,6.691087061017518
129,16,512,8,128,2.893864987843736,512,8,4,RS,500,10,True,1024,256,8,1,10,1,False,2,7,False,10,0.00010166612021710665,2.8939280000000003,True,False,2.8939910121562646
130,512,2,1,1,8.946319788955755,32,4,4,RS,500,10,False,1024,1024,1024,2,1,10,True,3,1,False,10,0.2607784874352178,9.107949,True,True,9.269578211044244
131,2048,16,8,128,3.772442474992281,1024,1,64,RS,500,10,False,2048,1,128,1,14,1,False,7,1,False,10,0.07544191639267918,3.8192009999999996,True,True,3.8659595250077183
132,64,1,512,16,5.544175611686769,32,1,32,RS,500,10,False,1024,1,1,9,1,1,True,10,1,False,10,0.00029427198303619794,5.544358000000001,True,False,5.544540388313233
133,1024,1024,128,64,0.37584215555155304,64,8,2048,RS,500,10,False,1,128,1,1,2,1,True,5,16,False,10,0.017325315449076253,0.3865803,True,True,0.39731844444844694
134,256,64,64,32,2.8324711483238345,1,2,16,RS,500,10,False,1024,128,128,1,3,1,True,5,5,False,10,5.139066063015865e-05,2.832503,True,False,2.8325348516761655
135,16,1024,1024,64,4.702478957268605,64,16,32,RS,500,10,False,1024,2048,512,1,4,1,True,1,1,False,10,9.84885780178758e-05,4.702539999999999,True,False,4.702601042731393
136,256,128,1,8,0.3034942939117209,32,32,8,RS,500,10,True,1,1,1,4,8,2,False,2,1,False,10,0.040538411537207525,0.3286198,True,True,0.35374530608827914
137,32,8,2,64,6.172037135412207,16,4,2,RS,500,10,True,64,1024,2048,1,5,4,True,1,3,False,10,0.00025147763320020484,6.172193,True,False,6.172348864587793
138,2048,256,256,4,4.640764830827229,1024,32,64,RS,500,10,True,2048,64,256,3,2,3,False,7,1,False,10,0.010369830085396827,4.647192,True,True,4.653619169172772
139,4,1024,1024,256,5.31359570873861,2048,1,8,RS,500,10,False,1,1024,1,1,3,3,False,5,2,False,10,0.0048553007115933865,5.316605000000001,True,True,5.3196142912613915
140,64,32,8,4,5.346545193315378,2,32,1,RS,500,10,False,2,256,256,1,6,1,True,8,3,False,10,0.00043208911117968295,5.346813,True,False,5.347080806684622
141,128,4,1,4,0.8628515181598257,2,16,64,RS,500,10,False,64,8,128,1,4,4,False,4,1,False,10,0.019140169284779053,0.8747145000000002,True,True,0.8865774818401746
142,8,256,1,4,0.505852519064272,16,4,512,RS,500,10,False,16,512,1,1,1,2,True,23,2,False,10,0.027250106979606527,0.5227419999999999,True,True,0.5396314809357279
143,256,8,2,64,0.2723563993787783,2,64,1,RS,500,10,False,8,128,2,3,8,2,True,5,1,False,10,0.028760154070519163,0.29018179999999993,True,True,0.30800720062122156
144,16,256,256,1,4.011222725001077,32,1,1,RS,500,10,False,2048,1024,64,5,1,1,True,10,1,False,10,0.00033926538284950524,4.011433,True,False,4.0116432749989235
145,1,128,128,16,3.141976235906506,1,128,8,RS,500,10,True,8,256,8,1,9,6,True,1,1,False,10,0.00019645864704823568,3.142098,True,False,3.1422197640934937
146,1024,1,32,16,7.500697628135818,1,256,1,RS,500,10,False,2048,64,8,2,1,2,False,1,3,False,10,0.12379959158252501,7.577428,True,True,7.654158371864183
147,1024,512,16,2048,2.6570882880367903,1024,64,16,RS,500,10,True,2048,1,1024,9,10,1,False,1,1,False,10,0.0625653803952314,2.695866,True,True,2.73464371196321
148,512,256,16,1,0.5756763884966823,1,256,8,RS,500,10,True,1,128,1024,2,1,7,False,5,1,False,10,0.018171509799683686,0.586939,True,True,0.5982016115033176
149,1024,256,2,4,0.2691849355767597,2,8,1,RS,500,10,True,2,1024,2,7,3,2,False,1,2,False,10,0.02998033778061882,0.28776660000000004,True,True,0.30634826442324037
150,1,16,8,2,7.321905006746109,32,2,8,RS,500,10,True,128,8,1024,2,1,1,False,16,2,False,10,0.0005356500723419487,7.322236999999999,True,False,7.32256899325389
151,16,1024,16,8,5.073465894542631,128,2,8,RS,500,10,True,2048,1024,2048,1,2,4,True,4,1,False,10,0.0006794269644340281,5.073887000000001,True,False,5.074308105457371
152,128,128,64,8,4.574883958353099,32,128,2,RS,500,10,False,64,1024,1,1,3,1,True,12,6,False,10,0.0007470883481891457,4.575346999999999,True,False,4.575810041646899
153,16,1,1,8,4.11591400422488,1024,2,1,RS,500,10,True,1024,1024,8,3,5,1,True,2,1,False,10,0.0021232757710669035,4.11723,True,True,4.11854599577512
154,512,2,1,32,3.564200300470906,4,32,8,RS,500,10,False,64,64,256,3,7,1,True,3,3,False,10,0.0007126541938416092,3.564642,True,False,3.565083699529094
