id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
46,True,35,0.12248170073927116,1,32,64,128,1,8,20,RS,21,1,1024,128,0.12243829926072881,6.550288979448698e-05,8,0.12245999999999999,8
47,True,35,0.15655791785612674,1,16,64,64,23,1,11,RS,10,1,1,1024,0.156511967858159,6.934919624918788e-05,1,0.15653494285714287,8
48,True,35,0.11862256796167422,1,32,1,512,9,15,1,RS,2,1024,64,128,0.11859748918118293,3.784969198915007e-05,8,0.11861002857142858,1
49,True,35,0.13357849755521292,1,256,64,256,12,1,9,RS,19,512,64,2048,0.13354830244478702,4.5571419614866496e-05,1,0.13356339999999997,1
50,True,35,0.3196845549721331,1,32,1,256,22,11,1,RS,21,512,2048,256,0.31889447359929546,0.0011924158999138442,32,0.3192895142857143,1
51,True,35,0.12826102972488135,8,1,128,512,3,1,16,RS,11,1,512,128,0.1282154274179758,6.882444985584218e-05,1,0.12823822857142858,1
52,True,35,0.23898418072370461,1,64,64,32,3,18,1,RS,20,256,256,1024,0.23896330499058113,3.1506319417938916e-05,1,0.23897374285714287,8
53,True,35,0.2245068199212924,32,128,16,64,9,10,1,RS,21,256,1,256,0.22436843722156474,0.0002088515652958602,1,0.22443762857142857,1
54,True,35,0.21848959857149006,32,1,32,256,14,9,1,RS,3,1024,512,64,0.21846577285708144,3.595852486134779e-05,1,0.21847768571428575,1
55,True,35,0.29369173128212445,1,64,16,1,25,1,4,RS,30,64,1024,1024,0.29313666871787547,0.0008377180500792453,32,0.29341419999999996,1
56,True,35,0.22142433057661814,8,16,128,1,1,13,20,RS,4,64,256,64,0.22140332656623907,3.1699919526069426e-05,1,0.2214138285714286,8
57,True,35,0.27986892266984303,1,64,64,256,1,16,26,RS,25,1,2048,512,0.27973582018729976,0.00020088249382793362,32,0.2798023714285714,1
58,True,35,0.13593622195186503,1,128,64,16,1,14,8,RS,3,128,1024,2048,0.13588206376242076,8.173725950774406e-05,1,0.1359091428571429,32
59,True,35,0.3352892301027099,1,64,128,16,27,27,1,RS,26,1024,512,512,0.3347247698972901,0.0008519012685919457,32,0.335007,1
60,True,35,0.16184725458736104,1,512,1,64,14,1,27,RS,2,2048,64,1024,0.16166520255549616,0.00027475870824252734,1,0.1617562285714286,1
61,True,35,0.1887448437506148,1,16,256,512,21,1,13,RS,9,1,1024,128,0.1886940133922424,7.671479116619745e-05,32,0.1887194285714286,1
62,True,35,0.2624951179964004,32,128,128,1,26,3,1,RS,12,512,1024,1,0.2624541962893138,6.176033995888455e-05,1,0.2624746571428571,1
63,True,35,0.14600259465059046,1,1,512,256,28,1,9,RS,1,1024,2048,64,0.14598791963512386,2.2147999402902964e-05,1,0.14599525714285716,1
64,True,35,0.14027790659113334,1,128,16,16,14,1,19,RS,1,1,1,2048,0.1402423219802952,5.370542480105012e-05,1,0.14026011428571428,8
65,True,35,0.1258693602442017,1,512,16,1,1,23,6,RS,29,512,1024,512,0.12582275404151255,7.033956125503526e-05,8,0.12584605714285713,8
66,True,35,0.16326058081355121,8,1,16,64,13,1,29,RS,22,256,512,1,0.16316964775787735,0.00013723905554668885,1,0.16321511428571428,1
67,True,35,0.16110348737430805,1,256,1,32,1,27,20,RS,26,64,512,2048,0.16075485548283477,0.0005261663227380414,1,0.1609291714285714,32
68,True,35,0.3240699071135426,1,128,1,1,20,20,1,RS,24,1,512,256,0.32350112145788606,0.0008584293754602419,32,0.32378551428571434,1
69,True,35,0.4151638948126686,1,32,16,1,27,1,1,RS,16,256,1024,64,0.41509696233018856,0.00010101662825333901,1,0.41513042857142857,1
70,True,35,0.12433062277407884,1,1,1,32,13,24,1,RS,11,64,128,128,0.12430286294020686,4.1896022898288205e-05,8,0.12431674285714285,8
71,True,35,0.1168170229993583,1,256,128,128,8,6,1,RS,28,2048,2048,2048,0.11672989128635598,0.00013150194846077185,8,0.11677345714285714,8
72,True,35,0.11890114067310571,1,512,32,64,11,1,22,RS,11,1024,1024,2048,0.11880343075546569,0.00014746691085093657,8,0.1188522857142857,8
73,True,35,0.20286784429953827,8,128,1,64,5,1,1,RS,29,128,1,512,0.20283524141474749,4.920530915439437e-05,1,0.20285154285714288,8
74,True,35,0.12492963240257855,1,16,128,128,1,8,3,RS,11,512,256,256,0.12486568188313575,9.651615493411137e-05,8,0.12489765714285715,1
75,True,35,0.2400451250005465,1,16,256,32,10,22,1,RS,10,2048,512,1024,0.23985578928516774,0.00028575147472256605,1,0.23995045714285712,8
76,True,35,0.18230536173245498,1,32,128,16,26,1,14,RS,13,1,2048,2048,0.18222589541040218,0.0001199330969962102,1,0.18226562857142858,1
77,True,35,0.22829603609859037,1,1,1,128,11,10,1,RS,4,256,512,64,0.2282699639014096,3.9348988006592253e-05,1,0.22828299999999999,8
78,True,35,0.1954111094746508,1,32,16,64,1,2,2,RS,28,512,64,2048,0.19537483338249206,5.4749030370688204e-05,1,0.19539297142857143,32
79,True,35,0.22956533438024534,8,1,512,64,15,13,1,RS,6,1,2048,128,0.22953169419118324,5.0770841704140235e-05,1,0.2295485142857143,8
80,True,35,0.21044080605782273,1,1,1,64,6,23,1,RS,27,512,128,512,0.2104211939421773,2.9599227789155213e-05,1,0.210431,32
81,True,35,0.2162384042240684,1,64,1,256,1,22,1,RS,14,2048,64,1,0.21622096720450298,2.63165037067411e-05,1,0.2162296857142857,1
82,True,35,0.11456704199630466,8,32,16,128,14,14,1,RS,30,256,2048,256,0.11449352943226679,0.00011094749631593901,8,0.11453028571428572,1
83,True,35,0.19069765450871465,32,1,1,512,1,18,13,RS,13,512,1,512,0.19067903120557103,2.8106880557862552e-05,1,0.19068834285714284,1
84,True,35,0.13560352440815931,8,1,64,16,2,1,3,RS,15,512,256,1,0.13556904702041211,5.203436854814192e-05,8,0.13558628571428571,1
85,True,35,0.2501646540507506,1,16,64,1,15,25,1,RS,25,128,128,64,0.25010083166353503,9.632277370743406e-05,32,0.2501327428571428,1
86,True,35,0.1384813161281148,1,256,1,32,28,1,21,RS,8,2048,2048,1,0.1384519410147423,4.4333854019755803e-05,8,0.13846662857142855,1
87,True,35,0.1231692981670355,1,1,1,16,1,4,30,RS,4,1,1,1024,0.1231312161186788,5.74746368196524e-05,8,0.12315025714285716,8
88,True,35,0.12321816921169892,8,1,32,32,1,11,5,RS,16,256,64,256,0.12318771650258675,4.5960195733229565e-05,8,0.12320294285714284,1
89,True,35,0.13600635388626187,1,128,64,256,1,17,5,RS,23,256,128,256,0.13578044611373813,0.00034094718485000187,1,0.1358934,32
90,True,35,0.12624563004942232,8,32,256,64,17,1,22,RS,26,2048,1,256,0.12621322709343488,4.890357025487581e-05,8,0.1262294285714286,1
91,True,35,0.1573307205733313,1,512,64,64,30,1,26,RS,16,512,512,2048,0.15727619371238294,8.229367025030115e-05,1,0.15730345714285712,32
92,True,35,0.16234353113380384,1,512,32,64,1,19,19,RS,2,512,64,2048,0.16224909743762467,0.00014252233337342052,1,0.16229631428571425,32
93,True,35,0.13545399947016556,1,128,16,16,16,1,30,RS,21,2048,1,1024,0.13543000052983445,3.6219962924964246e-05,8,0.135442,1
94,True,35,0.21914270596784122,1,16,256,256,24,1,1,RS,8,1024,1,1,0.21911729403215882,3.8352500384125616e-05,1,0.21913000000000002,8
95,True,35,0.21341431025414978,1,256,512,64,28,16,1,RS,20,1024,512,1,0.2133850040315645,4.422988185582e-05,1,0.21339965714285714,32
96,True,35,0.11778151471958172,8,64,256,128,1,26,7,RS,9,1,512,256,0.117627170994704,0.00023294045135517226,8,0.11770434285714286,1
97,True,35,0.11766293385402138,1,16,32,512,13,1,24,RS,12,1,64,1,0.11763792328883574,3.7746739283421875e-05,8,0.11765042857142856,8
98,True,35,0.1504169676628281,1,32,64,16,1,26,2,RS,3,1024,2048,1024,0.15039251805145756,3.6900129970459405e-05,1,0.15040474285714284,32
99,True,35,0.23497964933386473,32,64,32,32,12,7,1,RS,18,1,1024,128,0.23495555066613533,3.637047468169047e-05,1,0.23496760000000003,1
100,True,35,0.12080705076216551,1,64,16,1,10,1,2,RS,30,64,512,128,0.12070700638069164,0.00015099015780872002,8,0.12075702857142857,8
101,True,35,0.14170294481524062,8,1,16,256,6,1,2,RS,30,2048,128,256,0.1416035123276165,0.0001500666681777114,1,0.14165322857142856,8
102,True,35,0.19939560478989787,1,16,128,256,4,28,1,RS,23,512,2048,2048,0.19937490949581643,3.123399508515728e-05,1,0.19938525714285715,32
