id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
73,1,1,256,False,8,512,16,32,2048,1,0.08893355311845243,32,256,64,DLMT,1,True,False,True,1,64,False,1,23,13,1024,1,35,128,30,22,0.08895278857142859,1,False,5.8061513052616665e-05,True,0.08897202402440475
74,1,32,256,False,1,32,64,16,1024,4,0.19406908082176752,512,1,64,DLMT,32,False,True,False,1,1024,False,30,1,28,128,1,35,256,15,1,0.19456711428571427,1,True,0.001503295841455957,True,0.19506514774966102
75,8,1,1,False,8,16,1,1,1,24,0.11423401278659416,512,256,64,DLMT,8,True,False,True,1024,2048,True,1,19,1,128,1,35,2048,1,10,0.11878085714285712,8,True,0.013724483809482041,True,0.12332770149912008
76,1,1,1,True,1,1,1,1,1,1,0.052296665503799446,1,1,1,DLMT,1,False,False,False,1,1,False,1,1,1,1,1,35,1,1,1,0.052308771428571425,1,False,3.654129227074969e-05,True,0.052320877353343405
77,8,1,256,False,1,1,16,128,1024,10,0.09980579124424578,16,1,64,DLMT,8,False,False,True,1024,256,True,1,1,29,128,1,35,1,1,1,0.10553934285714286,8,True,0.01730651636967641,True,0.11127289447003995
78,8,1,512,False,1,1,1,1,2048,30,0.09513225831884137,16,16,128,DLMT,8,True,True,True,128,2048,True,1,1,29,256,1,35,128,28,1,0.09583018857142858,8,True,0.0021066770052480333,True,0.0965281188240158
79,8,1,1,False,1,64,32,1,1024,13,0.07503144870766275,16,1,1,DLMT,8,False,True,False,256,64,False,1,1,29,64,1,35,2048,1,5,0.07505202571428571,8,False,6.211094379234262e-05,True,0.07507260272090867
80,8,1,1,False,1,64,1,32,1,1,0.1011838351689208,16,512,256,DLMT,8,False,True,False,1,1,False,1,1,29,1024,1,35,128,16,21,0.10121354285714286,1,False,8.967157308984937e-05,True,0.10124325054536493
81,8,1,64,False,1,128,64,512,256,28,0.09814931491644234,16,16,512,DLMT,8,True,False,True,1024,1,False,1,1,29,1,1,35,512,30,1,0.09817337142857144,1,False,7.26137042218365e-05,True,0.09819742794070054
82,8,1,512,False,1,32,512,1,1,1,0.11087057570711364,16,512,16,DLMT,8,False,True,True,2048,2048,True,1,1,29,64,1,35,1,26,6,0.11207982857142856,8,False,0.0036500856544604493,True,0.11328908143574348
83,8,1,512,False,1,256,32,64,2048,1,0.09571227493419042,16,512,128,DLMT,8,True,True,False,2048,128,False,1,1,29,256,1,35,1024,19,19,0.09794040285714287,8,True,0.006725522847927276,True,0.10016853078009531
84,8,1,128,False,1,256,32,1,2048,1,0.09974420373652765,16,16,1,DLMT,8,True,False,False,1,128,False,1,1,29,256,1,35,64,12,2,0.09976053142857143,1,False,4.928454276040273e-05,True,0.09977685912061521
85,8,1,128,False,1,128,512,16,1024,14,0.09484424080569742,16,16,1,DLMT,8,False,True,True,2048,2048,True,1,1,29,1024,1,35,256,1,27,0.09577794571428572,1,True,0.0028183542027566217,True,0.09671165062287401
86,8,1,512,False,1,16,32,1,64,19,0.12812496133756515,16,1,1,DLMT,8,True,True,False,2048,1,True,1,1,29,512,8,35,64,1,30,0.12958668571428572,1,False,0.004412161703884448,True,0.1310484100910063
87,8,1,64,False,1,512,32,64,1024,30,0.10157834487190368,16,16,512,DLMT,8,False,True,False,1024,1024,False,1,1,29,1,1,35,2048,30,1,0.10160454285714286,1,False,7.907766267849558e-05,True,0.10163074084238205
88,8,1,1,False,1,1,64,16,2048,1,0.10412502792095238,16,512,1,DLMT,8,False,False,False,512,64,False,1,1,29,1024,1,35,128,2,29,0.10622722857142858,1,True,0.0063454159700897,True,0.10832942922190478
89,8,1,512,False,1,32,128,64,1,1,0.06899182343010933,16,32,1,DLMT,8,False,False,True,512,512,False,1,1,29,256,1,35,512,27,16,0.06900537142857144,8,False,4.089413909406717e-05,True,0.06901891942703355
90,8,1,2048,False,1,32,16,512,2048,1,0.1264336849204422,16,512,128,DLMT,8,False,True,True,256,512,True,1,1,29,128,8,35,512,15,6,0.12714434285714288,1,False,0.0021450950554077293,True,0.12785500079384354
