id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
85,256,512,128,0.2304318323962419,8,False,1,64,RS,False,False,True,False,True,4,8,64,35,1,15,2,1,3.491638992957619e-05,True,0.2304434,0.23045496760375808
86,1,256,256,0.10270233613301606,1,False,32,16,RS,False,True,False,True,True,25,1,16,35,8,1,10,2,6.780636295468746e-05,True,0.10272479999999999,0.10274726386698392
87,1024,1024,2048,0.12155325409289429,1,False,1,1,RS,False,False,False,False,False,26,1,512,35,8,1,4,27,4.028413370759559e-05,True,0.12156660000000001,0.12157994590710573
88,256,64,256,0.22673284558325102,8,False,32,128,RS,False,False,False,False,False,5,8,16,35,1,22,1,27,3.4531618164536925e-05,True,0.2267442857142857,0.2267557258453204
89,64,256,1024,0.10729760234466607,1,False,1,32,RS,True,True,True,False,False,30,1,1,35,1,1,2,13,0.0002531988909283497,True,0.10738148571428571,0.10746536908390536
90,1,64,256,0.20759974888122695,1,False,1,128,RS,False,True,False,True,False,25,1,1,35,1,13,25,1,4.042922765746948e-05,True,0.20761314285714286,0.20762653683305876
91,256,128,1,0.18388067775490566,1,False,1,1,RS,True,True,True,True,True,6,1,32,35,1,1,23,4,3.857411630847002e-05,True,0.18389345714285713,0.1839062365308086
92,64,256,64,0.29890809543517644,1,False,256,16,RS,False,True,True,True,True,28,1,16,35,32,13,1,14,4.843855775671898e-05,True,0.2989241428571428,0.2989401902791092
93,1,512,2048,0.2560812343625336,8,False,16,16,RS,True,False,True,True,True,25,8,64,35,1,4,10,1,0.0002889788411151324,True,0.25617697142857143,0.25627270849460926
94,1024,64,512,inf,1,False,1,256,RS,False,False,True,True,False,3,32,1,1,1,28,4,1,inf,False,inf,inf
95,2048,1024,1024,inf,32,False,256,512,RS,True,False,False,False,True,9,1,32,1,1,1,17,4,inf,False,inf,inf
96,1024,1024,1,0.21305850443179525,1,False,256,128,RS,False,True,True,True,False,1,8,64,35,1,13,25,1,6.15201576389277e-05,True,0.2130788857142857,0.21309926699677617
97,1,64,512,0.09654378026577692,1,False,16,64,RS,True,False,True,True,False,6,1,128,35,8,7,1,1,0.00011432134744496583,True,0.0965816542857143,0.09661952830565168
98,1024,128,512,0.10243542710136334,1,False,64,256,RS,True,True,True,True,True,15,1,16,35,8,1,29,18,2.855047803309773e-05,True,0.10244488571428573,0.10245434432720811
99,128,512,256,0.12059850407085004,8,False,1,128,RS,True,True,False,True,True,20,1,1,35,8,9,29,1,3.771850625734948e-05,True,0.120611,0.12062349592914995
100,1,256,1024,0.165471009360512,1,False,128,1,RS,True,True,False,False,False,15,8,32,35,1,9,19,1,3.722820962437814e-05,True,0.16548334285714286,0.1654956763537737
