id,SCR1,SCR2,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,VEC2,U1_I2,U1_I1,T2_I2a,VEC1,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
125,True,True,2048,16,16,4,9.691041963061787,False,DLMT,False,1,29,8,True,10,1,10,1,4,4,0.0028864977048317047,9.692831,True,4,16,8,9.694620036938213,128
126,True,False,64,1,8,1,6.321362162451287,False,DLMT,False,1,27,1,True,10,64,1,19,16,2,0.010869460382190207,6.328099,True,2048,2048,512,6.334835837548713,1
127,False,False,4,16,16,8,6.026485293105354,False,DLMT,False,30,1,256,False,10,256,25,1,2,4,0.0001979797969490769,6.026608,True,128,4,16,6.0267307068946465,256
128,False,False,64,2,1,16,6.184304031912335,False,DLMT,False,18,1,256,False,10,512,1,28,4,8,0.00014031749712702123,6.184391,True,1,32,1,6.1844779680876645,1024
129,True,False,4,4,32,4,5.829061373635879,False,DLMT,False,1,21,2048,True,10,1,1,23,16,4,0.00017203488018426185,5.829168,True,64,128,1,5.829274626364121,1
130,False,True,512,2048,8,16,4.385752512252408,False,DLMT,False,29,1,2048,False,10,1,30,1,32,1,0.00015244999180045774,4.385847,True,1024,2,1,4.385941487747592,8
131,False,False,8,512,1,16,4.48309588131487,False,DLMT,True,14,1,32,True,10,8,27,1,8,2,5.827520913715171e-05,4.4831319999999995,True,16,4,64,4.483168118685129,64
132,False,True,1024,8,8,16,4.37336985082422,False,DLMT,False,1,16,2048,True,10,1,1,10,4,2,0.00010188719252187032,4.373433,True,2048,4,1,4.3734961491757804,1
133,True,False,2,8,16,8,6.904063664275922,False,DLMT,True,14,1,256,False,10,4,1,21,4,1,0.002501368425482474,6.905614,True,4,32,1,6.907164335724078,1024
134,True,False,16,1,8,4,6.1216399336604,False,DLMT,False,1,12,256,True,10,32,11,1,4,8,0.002778444888782203,6.123361999999999,True,256,2,1,6.125084066339599,512
135,False,True,8,2048,4,1,4.421514296384431,False,DLMT,False,1,17,1,True,10,32,16,1,32,1,0.00011568923891174691,4.421586,True,256,8,64,4.421657703615568,64
136,True,False,2048,512,16,1,6.216115353018072,False,DLMT,False,29,1,1024,False,10,2048,22,1,4,8,0.0003753611594186328,6.216348,True,4,16,2,6.216580646981928,2048
137,True,True,512,2048,1,4,6.219852593938589,False,DLMT,True,1,13,2048,False,10,512,1,24,2,8,0.0014575884192733577,6.220756,True,16,16,256,6.22165940606141,64
138,True,False,32,64,2,16,5.970714193261982,False,DLMT,True,30,1,1,True,10,2048,1,16,4,2,0.0026328167425780278,5.972346,True,64,4,4,5.973977806738018,16
139,True,True,64,64,4,4,8.643705949356344,False,DLMT,False,18,1,512,False,10,2048,1,22,1,4,0.00012270289320147188,8.643782,True,8,1,2,8.643858050643656,2
140,False,True,64,2048,32,2,6.523977753461096,False,DLMT,False,1,29,1024,True,10,1,19,1,1,2,0.000135926450700293,6.524061999999999,True,256,1,2048,6.524146246538902,2
141,True,True,32,1,2,32,4.7459672615511,False,DLMT,False,30,1,256,True,10,1024,1,26,2,8,0.0008692203403049978,4.746505999999999,True,16,16,2048,4.747044738448898,512
142,True,True,1,2,8,4,7.0599547675551,False,DLMT,False,1,7,32,False,10,4,1,3,4,32,0.00018430680942373753,7.060069,True,16,512,1,7.060183232444901,1
143,True,True,8,1024,4,4,7.061799534680991,False,DLMT,True,11,1,4,True,10,128,1,9,32,4,0.021956396243463898,7.075408,True,1,1,64,7.08901646531901,1
144,False,True,8,128,4,16,9.037211908456118,False,DLMT,True,22,1,1,False,10,1,4,1,2,1,0.00022764226321110307,9.037353,True,8,64,8,9.03749409154388,1
145,True,False,8,4,2,16,6.554252302120686,False,DLMT,True,19,1,128,True,10,1024,1,15,1,4,0.0002963848849046903,6.554436,True,2,1,2,6.554619697879314,256
146,True,True,2048,2048,1,8,6.885689623090583,False,DLMT,True,12,1,1,True,10,1,30,1,16,2,0.0003039342034058532,6.885878000000001,True,128,16,4,6.886066376909419,1
147,True,False,8,256,1,32,4.380474187655557,False,DLMT,True,1,2,1,True,10,1024,1,29,2,4,0.0008870873688650705,4.381024,True,2048,4,4,4.381573812344443,256
148,True,False,16,2048,8,1,6.048445439277959,False,DLMT,True,21,1,256,False,10,512,21,1,16,8,0.00010577806956064772,6.0485109999999995,True,128,4,4,6.04857656072204,2048
149,True,True,512,32,8,1,4.647689704097697,False,DLMT,True,8,1,2048,False,10,1024,14,1,8,2,0.004061497383970533,4.650207,True,1,1024,32,4.652724295902303,1024
150,True,True,2,64,32,1,4.372943396129412,False,DLMT,False,1,1,1024,False,10,256,9,1,16,8,0.008206912939711165,4.378030000000001,True,1024,64,32,4.383116603870589,1024
151,True,False,128,2048,2,8,6.229733278689991,False,DLMT,True,1,5,8,True,10,1024,1,4,16,2,0.011585638696247994,6.2369140000000005,True,1,16,64,6.24409472131001,32
