id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
54,1,8,256,1,32,32,128,64,17,0.2134024739710016,128,64,16,RS,8,True,False,False,512,128,True,27,21,1,256,8,35,512,1,1,0.21409814285714288,1,False,0.002099851153131127,True,0.21479381174328416
55,1,32,1,1,16,32,16,1024,1,0.12348957857064113,128,16,16,RS,1,True,False,True,1024,512,True,1,27,13,1,1,35,1024,4,12,0.12540477142857143,1,False,0.00578093977078722,True,0.12731996428650172
56,8,1,64,8,64,1,32,512,1,0.16441134420272,16,1,256,RS,8,True,True,False,2048,1,True,5,17,1,1024,8,35,1,23,3,0.1655379714285714,1,False,0.0034006831791417967,True,0.16666459865442282
57,1,1,2048,1,16,1,512,256,1,0.14833100161587445,1,32,1,RS,8,True,True,False,1024,512,True,29,1,28,256,1,35,2048,24,9,0.14901788571428567,8,False,0.0020733345918582274,True,0.1497047698126969
58,8,1,2048,8,1,1,512,512,26,0.1751765658293298,64,64,512,RS,1,True,False,True,2048,1024,False,17,9,1,256,1,35,1024,1,28,0.17864654285714285,32,True,0.010473999065285037,True,0.1821165198849559
59,1,8,2048,1,64,32,128,64,24,0.16568662278886886,64,512,16,RS,8,True,False,True,512,512,False,1,26,27,2048,1,35,1,1,9,0.1672428,8,True,0.004697264138684498,True,0.16879897721113113
60,1,1,512,8,512,64,256,256,5,0.165808476097709,64,512,256,RS,1,True,True,False,128,512,False,14,1,12,1024,1,35,1,1,15,0.1658864857142857,8,False,0.00023546918165697422,True,0.16596449533086238
61,1,1,128,8,64,128,128,256,17,0.08018411730762355,256,128,16,RS,1,False,False,False,2048,1024,False,1,29,4,1,8,35,128,20,1,0.08019422857142856,8,False,3.052048091203744e-05,True,0.08020433983523358
62,1,1,1024,1,128,512,1,1024,16,0.06343453622052964,32,512,512,RS,8,False,False,True,1,512,True,27,1,20,2048,1,35,1,1,30,0.06685889714285714,1,True,0.010336308515062969,True,0.07028325806518465
63,8,8,2048,1,16,16,64,2048,14,0.19684474789640968,128,32,128,RS,1,True,True,True,1024,1024,False,21,16,1,128,1,35,128,22,1,0.1969336857142857,8,False,0.0002684555585916868,True,0.19702262353216174
64,8,8,1,1,64,32,256,128,1,0.14940769287309635,16,16,16,RS,1,True,False,False,256,512,True,11,25,1,64,1,35,1,14,15,0.15142857142857138,32,False,0.006099948193155714,True,0.15344944998404642
65,32,1,128,1,32,32,16,256,21,0.09785908115609443,256,64,128,RS,1,True,True,False,256,2048,False,1,28,11,64,32,35,1,7,1,0.09790037428571428,1,False,0.0001246418052841414,True,0.09794166741533414
66,1,1,1,1,128,256,512,1,23,0.13178271800462557,64,512,128,RS,1,True,True,False,1024,2048,True,1,13,15,1,32,35,2048,5,1,0.13461508571428574,1,False,0.008549398599973246,True,0.1374474534239459
67,32,1,1,1,512,1,64,256,27,0.22226579838901456,16,512,64,RS,1,False,False,False,2048,2048,True,22,15,1,1024,1,35,1024,25,1,0.23053774285714285,1,True,0.02496856259647074,True,0.23880968732527114
68,1,32,2048,1,512,32,1,128,5,0.09421820825515932,32,32,64,RS,1,False,False,True,256,1,True,11,1,3,1,1,35,2048,1,29,0.09586121142857143,32,True,0.004959345138208208,True,0.09750421460198354
69,1,8,2048,8,256,64,128,256,6,0.18357171665408878,1,128,256,RS,1,True,True,False,64,2048,False,1,29,2,2048,32,35,1024,13,1,0.18448114285714287,1,True,0.0027450698158475975,True,0.18539056906019696
70,1,8,128,1,256,32,512,512,21,0.12278576023949667,32,16,1,RS,32,False,True,False,64,256,False,22,1,29,1024,1,35,1,1,10,0.1237329714285714,1,True,0.002859122417663097,True,0.12468018261764613
