id,runs,mean_confidence_interval_sup,mean_confidence_interval_inf,U2_I,U2_J,cost_mean,baseline,technique,RT2_J,T2_Ia,correct_result,T2_J,T2_I,OMP,VEC2,cost_std,T2_Ja,SCR,RT2_I
107,10,0.23916032713933183,0.2391000728606682,1,5,0.23913020000000001,False,RS,32,64,True,32,32,False,True,4.86082297558731e-05,512,False,1
108,10,0.6147095152986385,0.6145764847013614,1,24,0.6146429999999999,False,RS,2,512,True,8,8,False,False,0.00010731821839742759,2048,True,32
109,10,0.10194112143131974,0.07343441856868028,6,1,0.08768777000000001,False,RS,32,512,True,2,128,True,False,0.02299687911069891,1,False,1
110,10,0.08698589165533173,0.07223990834466827,1,10,0.0796129,False,RS,4,16,True,4,16,True,True,0.011895854711705251,128,False,8
111,10,0.12252037104732916,0.12248922895267084,23,1,0.1225048,False,RS,4,128,True,32,4,False,True,2.512289792201382e-05,512,False,2
112,10,0.06623673197404734,0.05965208802595267,13,1,0.06294441,False,RS,2,1024,True,1,8,True,False,0.00531195282705899,128,False,1
113,10,0.09917099792792328,0.07860492207207673,4,1,0.08888796,False,RS,16,128,True,1024,128,True,False,0.016591029924341645,2048,False,8
114,10,0.1699801999992129,0.16965700000078707,17,1,0.1698186,False,RS,32,1,True,64,16,False,True,0.0002607313559969291,256,True,2
115,10,0.10176516670139096,0.060592013298609027,27,1,0.08117859,False,RS,1,2048,True,512,256,True,False,0.033215136663558985,512,True,16
116,10,0.12211375014624097,0.12197824985375906,4,1,0.12204600000000002,False,RS,1,256,True,256,256,False,False,0.00010931056673533268,256,False,2
117,10,0.16942497302312873,0.16939842697687127,1,8,0.1694117,False,RS,16,256,True,2,128,False,False,2.141518153087335e-05,16,True,4
118,10,0.10256691565112633,0.07264462434887367,6,1,0.08760577,False,RS,16,1024,True,32,1,True,False,0.024138860222058956,256,True,2
119,10,0.08931311925523014,0.08003894074476986,1,9,0.08467603,False,RS,8,4,True,2,2,True,True,0.007481649599526831,1024,False,2
120,10,0.11383384666405368,0.11372455333594632,8,1,0.1137792,False,RS,16,2048,True,32,1024,False,False,8.816892876745276e-05,512,False,2
121,10,0.08766593756615901,0.087505882433841,25,1,0.08758591,False,RS,8,1024,True,128,512,False,False,0.00012911940559033014,128,False,8
122,10,0.09117942328585124,0.08099463671414875,29,1,0.08608703,False,RS,16,64,True,2,2,True,False,0.008216253794284837,8,False,4
123,10,0.09221807974046571,0.07749642025953431,14,1,0.08485725000000001,False,RS,2,32,True,2,16,True,True,0.011876232232930613,1,True,4
124,10,0.4257859200824009,0.42565307991759893,1,22,0.4257194999999999,False,RS,4,256,True,4,1,False,True,0.00010716459303333951,64,False,32
125,10,0.08269667795229302,0.06689216204770698,1,2,0.07479442,False,RS,8,64,True,4,2,True,True,0.01274979233523433,8,False,1
126,10,0.09084352876582186,0.07927309123417814,12,1,0.08505831,False,RS,1,2,True,8,2,True,False,0.009334083792686885,64,False,16
127,10,0.6432309148025966,0.6429562851974034,1,6,0.6430936,False,RS,8,512,True,4,4,False,False,0.00022154873053122778,2048,True,1
128,10,0.17835571814465323,0.17785148185534677,1,21,0.1781036,False,RS,1,16,True,32,1,False,False,0.0004067766463306348,1,True,4
129,10,0.09905970304009823,0.07481267695990176,1,1,0.08693619,False,RS,1,512,True,16,16,True,True,0.019560519862541995,1,True,1
130,10,0.10360983630013466,0.07842272369986532,1,17,0.09101627999999999,False,RS,8,2,True,32,1,True,False,0.020318904869741385,32,False,2
131,10,0.1124964413466576,0.08560639865334241,8,1,0.09905142,False,RS,32,2048,True,1,64,True,False,0.021692689753684304,64,True,1
132,10,0.1422878362765018,0.10272714372349818,1,10,0.12250748999999998,False,RS,8,1024,True,256,2,True,False,0.0319143349745048,256,True,2
133,10,0.09618727046596487,0.07113906953403512,1,16,0.08366317,False,RS,1,256,True,64,16,True,True,0.020206842283644912,1,True,4
134,10,0.10594991339658809,0.10590948660341189,1,23,0.10592969999999999,False,RS,4,1024,True,32,256,False,True,3.261303420413561e-05,1024,False,4
135,10,0.10721319021405071,0.08509584978594928,19,1,0.09615452,False,RS,8,1,True,1,512,True,False,0.017842463455913254,128,True,2
136,10,0.16238733284536772,0.1623460671546323,3,1,0.1623667,False,RS,1,1,True,16,2048,False,True,3.328978822401477e-05,16,True,8
137,10,0.08899504404275321,0.07820661595724682,10,1,0.08360083000000001,False,RS,32,32,True,2,4,True,False,0.00870322245516567,4,False,4
138,10,0.14029954200188602,0.140254057998114,16,1,0.1402768,False,RS,32,1024,True,2,2,False,True,3.669277858107561e-05,32,False,2
139,10,0.16545653665605167,0.16542526334394833,19,1,0.1654409,False,RS,2,1024,True,1,16,False,True,2.522875343729884e-05,8,False,32
140,10,0.08991550465521839,0.0809394753447816,2,1,0.08542749,False,RS,4,16,True,2,1,True,True,0.007241127181240503,2,True,8
141,10,0.10353348692810523,0.08001533307189478,23,1,0.09177441,False,RS,32,512,True,1,1,True,False,0.018972525294986435,2,False,4
142,10,0.0914668708003048,0.08219272919969517,1,26,0.08682979999999998,False,RS,1,16,True,64,16,True,False,0.0074816198236745506,512,True,2
143,10,0.091673586397985,0.07356529360201498,1,13,0.08261943999999999,False,RS,1,1,True,4,4,True,False,0.014608291331925167,32,False,32
144,10,0.09078647909636504,0.06730882090363495,1,23,0.07904765,False,RS,1,16,True,8,2,True,False,0.018939856701847033,2048,True,1
145,10,0.09467178519840183,0.06789401480159815,1,9,0.08128289999999999,False,RS,2,1,True,64,256,True,True,0.02160211763656517,128,False,8
146,10,0.41549253509142386,0.41536306490857605,1,7,0.41542779999999996,False,RS,1,512,True,1,128,False,True,0.00010444596689197915,1,True,32
147,10,0.10449171426758305,0.06128508573241695,28,1,0.0828884,False,RS,8,2048,True,16,32,True,False,0.03485557828247869,2048,False,1
148,10,0.09853169234730744,0.059603087652692566,6,1,0.07906739,False,RS,4,2048,True,1,32,True,False,0.03140441812664103,4,True,4
149,10,0.10479989151214475,0.07305530848785524,1,26,0.0889276,False,RS,2,1024,True,16,128,True,True,0.025608936317426386,16,False,16
150,10,0.1393626893233133,0.13931331067668673,8,1,0.13933800000000002,False,RS,16,2048,True,2,256,False,False,3.983465827642744e-05,2,False,1
151,10,0.11997593518746577,0.11995886481253426,18,1,0.11996740000000002,False,RS,2,2048,True,1024,8,False,True,1.3770983988080947e-05,1,False,2
152,10,0.12793895992758283,0.08504862007241715,1,21,0.10649378999999999,False,RS,2,1024,True,64,128,True,True,0.03460042241359056,128,False,16
153,10,0.16264088129806256,0.1625847187019375,1,7,0.16261280000000003,False,RS,2,32,True,16,16,False,False,4.530739453996485e-05,1,False,2
154,10,0.1425330114462688,0.1425003885537312,6,1,0.1425167,False,RS,8,16,True,4,4,False,False,2.6317484682239326e-05,8,False,4
155,10,0.0909005991704791,0.0773649808295209,16,1,0.08413279,False,RS,2,32,True,2048,16,True,False,0.0109194311308282,2048,False,8
156,10,0.09217105006706362,0.052490709932936405,11,1,0.07233088000000001,False,RS,4,512,True,512,64,True,True,0.032010856868750014,512,False,1
157,10,0.1827193460389373,0.18265285396106273,1,1,0.18268610000000002,False,RS,1,512,True,8,16,False,True,5.3640376583320627e-05,1,True,1
158,10,0.09189609851003105,0.08021172148996894,11,1,0.08605391,False,RS,2,32,True,256,8,True,True,0.009426000864040912,256,False,2
159,10,0.09557438432265788,0.05236901567734211,1,27,0.0739717,False,RS,1,2048,True,128,256,True,True,0.03485456190626989,1,False,1
160,10,0.1031654623828833,0.07709463761711671,1,29,0.09013005,False,RS,8,16,True,4,4,True,True,0.02103181165298178,1024,False,2
161,10,0.11244813402602491,0.06900266597397509,1,10,0.0907254,False,RS,4,512,True,8,32,True,False,0.03504825449351223,1024,False,8
162,10,0.1434948671286821,0.14345413287131792,1,20,0.1434745,False,RS,32,256,True,512,32,False,True,3.2861071193739986e-05,1,True,1
163,10,0.24484082064429744,0.24478577935570253,1,7,0.24481329999999998,False,RS,8,2048,True,4,512,False,True,4.4402815226062e-05,1,False,16
