id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
85,256,2048,16,0.2156088109338716,1,False,64,1,SIMA,True,False,False,True,True,4,2,2,35,32,5,1,18,0.00017227814245384347,True,0.21566588571428574,0.21572296049469988
86,256,2048,32,0.16935472153418119,1,False,32,1,SIMA,False,False,True,False,False,3,2,2,35,8,4,1,20,3.292249401617116e-05,True,0.1693656285714286,0.169376535608676
87,256,1024,16,0.09175286914480375,2,False,16,1,SIMA,False,False,True,False,True,2,4,1,35,16,4,1,20,5.164849216441013e-05,True,0.09176998,0.09178709085519625
88,256,2048,32,0.09070941384050825,1,False,16,1,SIMA,True,True,True,True,False,2,2,1,35,8,5,1,19,3.417897503866824e-05,True,0.09072073714285715,0.09073206044520606
89,64,2048,16,0.09149571657453542,1,False,64,1,SIMA,True,True,True,True,False,3,2,1,35,16,4,1,20,7.182389881380867e-05,True,0.09151951142857144,0.09154330628260746
90,128,2048,16,0.3603702958951645,2,False,32,2,SIMA,True,False,True,True,False,2,2,2,35,8,3,1,20,0.00021290031010032804,True,0.3604408285714286,0.36051136124769273
91,64,1024,16,0.12434923090647852,1,False,16,1,SIMA,False,True,False,False,True,2,2,1,35,16,5,1,18,0.00028321107150040603,True,0.12444305714285712,0.12453688337923573
92,64,2048,64,0.08998248787558925,2,False,16,1,SIMA,True,False,True,False,True,2,4,1,35,8,4,1,19,6.883169274782313e-05,True,0.09000529142857143,0.0900280949815536
93,128,1024,32,0.11182533229494722,2,False,16,1,SIMA,False,False,False,False,True,4,4,1,35,16,5,1,20,6.195350461994801e-05,True,0.11184585714285715,0.11186638199076708
94,256,2048,32,0.10901876291675863,2,False,64,1,SIMA,True,True,False,False,True,2,4,1,35,16,5,1,19,0.00023434470337517743,True,0.1090964,0.10917403708324136
95,128,2048,16,0.17782412505338777,1,False,64,1,SIMA,True,False,False,True,False,3,2,1,35,32,4,1,20,6.965088451904645e-05,True,0.17784719999999998,0.1778702749466122
96,128,2048,32,0.2697822944178621,1,False,32,2,SIMA,True,False,False,False,True,3,2,1,35,32,4,1,19,0.0003020788057741894,True,0.2698823714285714,0.2699824484392807
97,64,2048,16,0.09135456871934439,2,False,32,1,SIMA,True,False,True,True,True,3,4,1,35,8,4,1,20,2.7648679342560623e-05,True,0.09136372857142859,0.0913728884235128
98,256,1024,32,0.16742916032022057,1,False,16,1,SIMA,True,False,True,False,False,3,4,2,35,16,5,1,18,0.00010455860967487371,True,0.16746380000000002,0.16749843967977948
99,256,1024,32,0.09500771386044894,1,False,64,1,SIMA,True,True,False,False,True,2,8,1,35,8,5,1,18,4.116450184618942e-05,True,0.09502135142857142,0.0950349889966939
100,128,1024,16,0.09412091714561663,1,False,32,1,SIMA,True,False,False,False,True,3,8,1,35,8,3,1,19,0.00034836517832496927,True,0.09423632857142858,0.09435173999724053
101,64,2048,32,0.31268227349050925,2,False,32,1,SIMA,False,True,False,True,False,2,2,2,35,32,5,1,19,4.7728620601165416e-05,True,0.31269808571428576,0.31271389793806226
102,64,2048,16,0.09779172550972957,1,False,32,1,SIMA,True,False,True,False,True,4,2,1,35,16,5,1,20,3.2229183631470306e-05,True,0.09780240285714285,0.09781308020455613
103,128,2048,32,0.09013234392590726,1,False,64,1,SIMA,True,False,True,False,True,3,8,1,35,8,4,1,20,2.857731139436547e-05,True,0.09014181142857143,0.0901512789312356
104,64,2048,16,0.34490386604252504,1,False,32,1,SIMA,False,False,False,False,True,3,2,2,35,8,4,1,19,6.465449776800377e-05,True,0.3449252857142857,0.3449467053860464
105,256,2048,16,0.08942683012844992,2,False,32,1,SIMA,True,True,True,True,False,3,4,1,35,8,5,1,20,3.709652890962833e-05,True,0.08943912,0.08945140987155008
106,64,2048,64,0.09320339676436686,1,False,64,1,SIMA,True,True,True,False,True,4,2,1,35,16,4,1,20,0.00018616272386034208,True,0.09326507142857143,0.09332674609277601
107,256,2048,64,0.08999130099161456,2,False,64,1,SIMA,True,True,True,True,True,3,8,1,35,8,5,1,20,4.022018926471813e-05,True,0.09000462571428572,0.09001795043695687
108,128,1024,32,0.10899165266113348,2,False,64,1,SIMA,True,False,False,False,True,2,2,1,35,8,3,1,20,4.7705251497168406e-05,True,0.10900745714285716,0.10902326162458084
