id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
122,32,4,512,1024,2.4255211153532237,32,False,128,DLMT,2048,False,False,False,True,1,1,False,4,3,8,10,16,1,2.4736469999999997,0.07764806450260041,True,True,2,2,1,2.5217728846467757,30
123,32,4,512,1024,2.5274927401126024,32,False,64,DLMT,2048,False,False,False,True,1,1,False,4,17,32,10,16,1,2.589656,0.10029647971888142,True,True,1,32,1,2.651819259887398,30
124,32,4,512,1024,2.4170355747769174,32,False,2048,DLMT,2048,True,False,False,True,1,1,False,4,29,1,10,16,1,2.4730300000000005,0.09034345598879862,True,True,32,2,1,2.5290244252230836,30
125,32,4,512,1024,2.36998974109441,32,False,1,DLMT,2048,True,False,False,True,1,1,False,4,27,1,10,16,1,2.427336,0.09252455395191055,True,True,1,8,1,2.4846822589055897,30
126,32,4,512,1024,2.419209525169134,32,False,256,DLMT,2048,True,False,False,True,1,1,False,4,22,32,10,16,1,2.487708,0.1105179474836554,True,True,4,16,1024,2.556206474830866,30
127,32,4,512,1024,2.3181923816113663,32,False,4,DLMT,2048,False,False,False,True,1,1,False,4,24,4,10,16,1,2.413718,0.1541245305459193,True,True,2,4,2048,2.5092436183886333,30
128,32,4,512,1024,2.345630570971535,32,False,64,DLMT,2048,True,False,False,True,1,1,False,4,18,4,10,16,1,2.396635,0.08229241341095787,True,True,16,2,1,2.447639429028465,30
129,32,4,512,1024,2.337544329568246,32,False,2048,DLMT,2048,False,False,False,True,1,1,False,4,1,32,10,16,1,2.395762,0.09393052121648214,True,True,8,1,1024,2.453979670431754,30
130,32,4,512,1024,2.335481482515194,32,False,1,DLMT,2048,True,False,False,True,1,1,False,4,7,32,10,16,1,2.4012559999999996,0.10612301495905592,True,True,8,2,2048,2.467030517484805,30
131,32,4,512,1024,2.389588360431053,32,False,128,DLMT,2048,True,False,False,True,1,1,False,4,14,1,10,16,1,2.4620560000000005,0.11692194320998947,True,True,2,2,1024,2.534523639568948,30
132,32,4,512,1024,2.352954467387368,32,False,4,DLMT,2048,False,False,False,True,1,1,False,4,14,1,10,16,1,2.4013219999999995,0.07803794817907501,True,True,2,1,2048,2.449689532612631,30
133,32,4,512,1024,2.352146986264229,32,False,2048,DLMT,2048,True,False,False,True,1,1,False,4,30,32,10,16,1,2.402288,0.08089934756226402,True,True,1,1,1,2.452429013735771,30
134,32,4,512,1024,2.350868462511463,32,False,1,DLMT,2048,True,False,False,True,1,1,False,4,9,2,10,16,1,2.424945,0.11951779802606805,True,True,1,1,2048,2.499021537488537,30
135,32,4,512,1024,2.2296443082041657,32,False,256,DLMT,2048,False,False,False,True,1,1,False,4,1,16,10,16,1,2.387393,0.2545175155878274,True,True,1,1,1024,2.545141691795834,30
136,32,4,512,1024,2.206224081376546,32,False,1,DLMT,2048,False,False,False,True,1,1,False,4,30,16,10,16,1,2.355233,0.2404164455294188,True,True,32,1,1024,2.504241918623454,30
