id,correct_result,runs,baseline,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,mean_confidence_interval_sup,cost_std,RT_I,cost_mean,RT_J
121,True,35,False,8,128,32,1,1,1,16,DLMT,26,2048,512,1,0.12740385120362993,0.12745717736779869,8.048154053786111e-05,1,0.1274305142857143,1
122,True,35,False,8,64,512,128,1,21,16,DLMT,22,2048,2048,64,0.12085334975421505,0.12087842167435642,3.7839338131158396e-05,1,0.12086588571428573,1
123,True,35,False,8,128,256,512,1,9,16,DLMT,30,1,512,128,0.11192180591277136,0.11199996551580006,0.00011796095514523237,1,0.11196088571428571,1
124,True,35,False,1,512,32,128,1,18,16,DLMT,30,2048,256,2048,0.1388832868636715,0.13892705599347135,6.605776074846762e-05,1,0.13890517142857142,1
125,True,35,False,8,1,256,512,1,20,16,DLMT,25,1024,2048,1,0.1182940071571316,0.11834022141429694,6.97480246227494e-05,1,0.11831711428571427,1
126,True,35,False,8,16,128,128,1,30,16,DLMT,4,1024,512,512,0.12902444830201046,0.12906892312656096,6.712281767820249e-05,1,0.1290466857142857,1
127,True,35,False,8,512,512,512,1,30,16,DLMT,18,1024,1,1024,0.12784777016333937,0.12788948697951774,6.29603438519775e-05,1,0.12786862857142856,1
128,True,35,False,8,512,32,128,1,11,16,DLMT,30,512,2048,512,0.12690844225288794,0.12693904346139778,4.618431574039233e-05,1,0.12692374285714286,1
129,True,35,False,1,64,1,128,1,17,16,DLMT,18,2048,64,512,0.13533256632497706,0.13544509081788017,0.00016982553833092416,1,0.13538882857142862,1
130,True,35,False,32,256,1,16,1,20,16,DLMT,2,512,1,2048,0.19836074405665302,0.1983890273719184,4.268607764236174e-05,1,0.19837488571428571,1
131,True,35,False,1,128,32,512,1,17,16,DLMT,16,1024,512,2048,0.1343275182311105,0.1343547103403181,4.103919480452806e-05,1,0.1343411142857143,1
132,True,35,False,1,64,512,256,1,3,16,DLMT,16,1024,2048,512,0.12707753673758662,0.12710652040527046,4.3743071754630007e-05,1,0.12709202857142854,1
