id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
179,128,64,2,256,8,1,1.967269142881907,32,False,64,DLMT,16,True,True,False,True,4,64,1,False,16,16,1,1,10,10,8,1.9674139999999998,1,0.0002337177785278647,1,True,8,1,512,1.9675588571180926,1,20
180,1,8,8,1024,64,128,1.9964567051055004,16,False,1024,DLMT,64,False,False,False,False,1,1,30,False,4,11,512,1,10,1,32,1.9965230000000003,4,0.00010696261028975138,4,True,1,10,1,1.9965892948945,6,1
181,64,32,4,128,32,2048,5.203942760740552,8,False,32,DLMT,32,False,False,True,True,4,8,1,False,1,12,1024,2,10,9,1,5.204064,2,0.00019561186058112,16,True,27,1,1024,5.204185239259448,1,5
182,1,2,4,2,2,128,2.431466515875546,1,False,256,DLMT,128,True,False,True,False,8,32,18,True,4,29,16,4,10,1,32,2.4316090000000004,16,0.0002298891036999894,8,True,1,22,2,2.4317514841244545,14,1
183,8,64,4,16,8,512,2.5705541332379487,1,False,64,DLMT,16,True,True,True,True,1,32,29,True,4,28,8,1,10,1,2,2.5706549999999995,8,0.00016274212730571223,16,True,1,24,512,2.5707558667620503,14,1
184,1,4,32,4,4,512,3.474499082929301,1,False,64,DLMT,1,False,False,True,False,2,4,9,False,8,28,256,4,10,1,4,3.474638,16,0.00022413388855765674,1,True,17,1,1,3.4747769170706992,24,1
185,32,4,32,2048,16,128,3.2743221552859434,512,False,8,DLMT,64,True,False,True,True,8,32,1,True,8,20,1024,1,10,4,4,3.2745419999999994,4,0.0003547055116571581,32,True,1,13,512,3.2747618447140554,16,1
186,256,16,128,512,128,16,inf,16,False,32,DLMT,1024,True,True,True,False,1,8,19,False,2,13,1,32,1,1,1,inf,4,inf,8,False,13,1,512,inf,1,24
187,1,128,8,512,2,128,1.9977984618616023,2,False,1024,DLMT,1024,True,False,True,True,4,4,1,False,4,8,256,2,10,11,4,1.9980699999999998,4,0.0004381095753347446,2,True,1,25,1,1.9983415381383973,15,1
188,8,64,16,256,32,256,2.261027581513669,1,False,128,DLMT,2048,True,True,True,False,2,8,8,False,32,12,1024,1,10,1,32,2.261157,1,0.0002088085247302175,8,True,25,1,512,2.2612864184863306,1,27
