id,T2_J,T2_I,T3_J,T3_I,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T3_Ja,VEC2,VEC3,cost_std,U2_J,SCREP,RT2_I,runs,U2_I,RT2_J,OMP3,cost_mean,RT3_I,OMP2,RT3_J,correct_result,T3_Ia,mean_confidence_interval_sup,U3_I,U3_J
116,32,16,1,32,6.980075643686311,1,False,2048,DLMT,2048,False,False,0.004752145725880159,29,True,1,10,1,8,False,6.983020999999999,1,True,1,True,256,6.985966356313687,1,30
117,2048,256,2048,1,6.987877127143421,1,False,2048,DLMT,2048,False,False,0.002971745110200402,1,True,8,10,15,8,False,6.989718999999999,1,True,8,True,512,6.991560872856577,1,30
118,2048,2048,2048,64,6.993889052102397,2048,False,2048,DLMT,2048,True,True,0.004370715730861452,29,False,1,10,1,8,False,6.9965980000000005,1,True,1,True,512,6.999306947897604,1,30
119,2048,1024,2048,8,6.9472988169015,1,False,2048,DLMT,2048,True,True,0.00085864369793305,1,True,1,10,24,8,False,6.947830999999999,1,False,1,True,512,6.948363183098498,1,30
120,2048,2,2048,512,6.977650985773722,1,False,2048,DLMT,2048,False,True,0.0010277820780690615,13,True,1,10,1,8,False,6.978288000000001,32,False,1,True,512,6.97892501422628,1,30
121,2048,1,2048,128,6.981769790006713,2048,False,2048,DLMT,2048,False,True,0.005395670857270521,1,False,8,10,19,8,False,6.985114,32,True,1,True,512,6.988458209993287,1,30
122,2048,32,2048,1,6.9775094698859546,1,False,2048,DLMT,2048,True,True,0.000993118824713292,21,False,8,10,1,8,False,6.978125,32,False,32,True,512,6.978740530114046,1,30
123,2048,64,2048,512,6.973293253159559,2048,False,2048,DLMT,2048,False,True,0.0026101319889999257,21,False,1,10,1,8,False,6.9749110000000005,1,True,32,True,512,6.976528746840442,1,30
124,2048,2048,2048,16,7.018114018193725,1,False,2048,DLMT,2048,False,False,0.0009551251226935049,26,False,1,10,1,8,False,7.018706,32,False,32,True,512,7.019297981806274,1,30
125,2048,8,2048,2,6.976484974223665,2048,False,2048,DLMT,2048,False,False,0.006519938956769398,6,False,8,10,1,8,False,6.980526,1,True,32,True,512,6.984567025776335,1,30
126,2048,2048,2048,1,6.971420033890494,2048,False,2048,DLMT,2048,True,True,0.0033252381869575427,5,False,32,10,1,8,False,6.973481,8,True,1,True,512,6.975541966109505,1,30
127,2048,256,2048,128,6.992257994448793,1,False,2048,DLMT,2048,True,False,0.0006260223638176551,6,False,8,10,1,8,False,6.992645999999999,1,False,1,True,512,6.993034005551205,1,30
128,2048,4,2048,64,7.017522196684766,2048,False,2048,DLMT,2048,False,True,0.0014598427997562404,1,True,32,10,1,8,False,7.018427,1,False,8,True,512,7.019331803315234,1,30
129,2048,32,2048,256,6.99332908242769,2048,False,2048,DLMT,2048,False,True,0.0004661501903893283,1,False,32,10,24,8,False,6.993618000000001,8,False,32,True,512,6.993906917572311,1,30
130,2048,8,2048,8,6.973610440250426,1,False,2048,DLMT,2048,True,True,0.0012303418224216467,1,False,8,10,9,8,False,6.974373,8,False,8,True,512,6.975135559749574,1,30
131,2048,1,2048,1,6.978153241169979,1,False,2048,DLMT,2048,False,False,0.005283615807380424,25,False,32,10,1,8,False,6.981427999999999,1,True,8,True,512,6.98470275883002,1,30
132,2048,1,2048,256,6.94567803687488,2048,False,2048,DLMT,2048,True,False,0.000679197320371816,9,False,1,10,1,8,False,6.946099000000001,8,False,32,True,512,6.946519963125122,1,30
133,2048,1,2048,1,7.023298516467344,1,False,2048,DLMT,2048,False,True,0.001256033837123753,1,False,8,10,30,8,False,7.024077,8,False,32,True,512,7.024855483532656,1,30
134,2048,1,2048,16,6.969281187072302,2048,False,2048,DLMT,2048,True,True,0.002047149237354301,17,True,32,10,1,8,False,6.97055,32,True,32,True,512,6.971818812927698,1,30
135,2048,16,2048,256,6.977673741355591,1,False,2048,DLMT,2048,False,True,0.005339279071185553,16,True,1,10,1,8,False,6.980983,8,True,1,True,512,6.984292258644409,1,30
136,2048,4,2048,32,6.9738795866474526,2048,False,2048,DLMT,2048,True,False,0.0010768291415076982,1,True,1,10,20,8,False,6.974546999999999,8,False,8,True,512,6.975214413352546,1,30
137,2048,512,2048,1,6.9789098746523806,1,False,2048,DLMT,2048,False,True,0.004230633049556546,1,True,1,10,1,8,False,6.981532,32,True,8,True,512,6.984154125347619,1,30
138,2048,2048,2048,64,6.973315797403862,2048,False,2048,DLMT,2048,False,True,0.0031820238842599244,1,True,8,10,30,8,False,6.975288000000001,32,True,8,True,512,6.977260202596139,1,30
139,2048,128,2048,8,6.982107603262491,1,False,2048,DLMT,2048,False,True,0.004176214074972677,30,True,8,10,1,8,False,6.984696,8,True,32,True,512,6.9872843967375085,1,30
140,2048,4,2048,512,6.973644361983412,1,False,2048,DLMT,2048,True,False,0.0035215480970731535,1,True,1,10,9,8,False,6.975827,32,True,32,True,512,6.978009638016587,1,30
141,2048,8,2048,512,6.959921068110754,1,False,2048,DLMT,2048,True,False,0.009593384230812541,1,False,32,10,30,8,False,6.965867,32,True,1,True,512,6.971812931889247,1,30
142,2048,256,2048,1,6.964759883309138,2048,False,2048,DLMT,2048,False,False,0.0009279143279420205,30,True,1,10,1,8,False,6.9653350000000005,32,False,8,True,512,6.965910116690863,1,30
143,2048,256,2048,512,6.968376760225023,2048,False,2048,DLMT,2048,True,True,0.0012540271129444338,30,False,8,10,1,8,False,6.9691540000000005,1,False,8,True,512,6.969931239774978,1,30
144,2048,2,2048,256,6.979972874701014,2048,False,2048,DLMT,2048,True,False,0.001292564891987942,1,True,8,10,1,8,False,6.980773999999999,8,False,1,True,512,6.981575125298985,1,30
145,2048,2048,2048,512,6.976957310644718,1,False,2048,DLMT,2048,False,False,0.003910469153439274,1,True,8,10,15,8,False,6.979380999999999,8,True,8,True,512,6.981804689355281,1,30
146,2048,1024,2048,128,6.992520021108396,1,False,2048,DLMT,2048,False,True,0.0005582150123382763,1,True,32,10,11,8,False,6.992866000000001,1,False,32,True,512,6.9932119788916065,1,30
