id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
140,8,1,256,False,2,1,256,128,2048,5,15.702383215005012,2,32,16,RS,4,False,False,True,1024,512,False,20,1,1,1024,16,10,128,1,11,15.702670000000001,4,False,0.0004627094120506632,True,15.70295678499499
141,2,2,128,False,2,64,1,4,4,20,5.792161498054202,4,2,32,RS,1,False,True,False,1024,1024,True,28,6,1,1,1,10,64,27,1,5.799707,8,False,0.012174189131108489,True,5.807252501945797
142,16,4,2048,False,1,1,1,32,16,22,3.773065028167187,32,2048,256,RS,2,True,True,True,128,512,True,30,1,25,32,1,10,256,1,3,3.775289,1,True,0.0035882375896810516,True,3.7775129718328126
143,4,16,2048,False,4,512,4,8,256,1,5.705130180241069,512,2,4,RS,2,False,True,False,1024,2048,False,1,19,22,1,16,10,256,22,23,5.705247999999999,2,False,0.00019009471323532142,True,5.70536581975893
144,1,16,128,False,1,64,1,64,8,9,12.909684109519267,1,128,128,RS,4,False,False,True,256,512,True,1,22,8,1024,2,10,1,1,22,12.91098,2,False,0.0020908371529126885,True,12.912275890480734
145,2,2,32,False,4,1,32,32,512,5,4.3291786967752195,4,2,2048,RS,4,False,True,True,64,2048,True,9,4,1,64,2,10,2048,1,22,4.330907999999999,4,False,0.0027901211443233623,True,4.332637303224779
146,16,4,4,False,1,16,64,16,1024,1,inf,4,1,16,RS,1,True,True,False,128,1024,True,20,25,1,32,16,1,128,10,18,inf,2,True,inf,False,inf
147,4,2,1,False,4,2,2048,256,1,29,3.5841151740736037,16,8,1,RS,4,False,True,True,1,32,True,20,1,14,1,1,10,2048,1,1,3.7129559999999997,1,True,0.20787650628197496,True,3.8417968259263957
148,1,1,1,False,4,16,32,32,512,15,18.98254008171809,128,1024,1024,RS,2,True,False,True,256,2048,True,13,1,10,16,16,10,128,1,23,21.160429999999998,4,True,3.5138873414069502,True,23.338319918281908
149,2,16,512,False,1,512,256,256,256,15,3.420075876025065,32,4,32,RS,2,False,True,True,1,256,False,18,1,15,1024,4,10,512,1,29,3.4224470000000005,1,True,0.0038256582440151002,True,3.424818123974936
150,2,2,1,False,4,1,64,2,256,15,4.839063105314231,2,4,8,RS,32,True,False,False,64,512,True,12,1,12,8,1,10,4,27,1,4.840525,2,False,0.00235867441585295,True,4.84198689468577
151,2,2,16,False,1,2,8,32,32,2,10.493784534724142,32,8,1,RS,32,True,False,False,512,32,False,20,22,1,4,2,10,1024,1,26,10.49409,2,False,0.000492848861214224,True,10.494395465275858
152,4,8,1024,False,4,1,2,128,512,4,17.25317662013284,1,64,16,RS,4,True,True,False,1024,32,True,25,2,1,2,8,10,256,1,1,19.284209999999998,2,False,3.2769436249194155,True,21.315243379867155
153,4,2,16,False,2,16,16,1,2048,14,3.104123083765887,1,1,32,RS,8,False,True,True,2,32,True,13,23,1,128,2,10,128,1,8,3.132559,1,False,0.045879548482956965,True,3.160994916234113
154,4,1,2048,False,2,16,2,16,4,29,13.979834634598923,256,2048,4,RS,8,False,False,False,2048,4,False,14,3,1,64,8,10,64,4,1,13.98039,4,False,0.0008960468737741902,True,13.980945365401077
155,2,8,1024,False,8,64,64,1,1024,30,14.220575186161835,2,1,256,RS,2,False,True,False,2048,256,True,7,30,1,1,1,10,2048,18,1,15.893779999999998,8,True,2.6996099139690535,True,17.56698481383816
156,2,1,2048,False,32,64,1,4,64,1,15.564127740380071,64,512,1,RS,1,True,True,False,2048,8,False,13,27,1,64,2,10,8,16,18,15.807240000000002,4,True,0.39224622165165623,True,16.05035225961993
157,32,1,32,False,2,16,4,512,512,22,18.829543926259205,4,32,4,RS,8,False,False,True,128,16,False,8,1,5,256,1,10,2048,21,1,18.85426,2,True,0.039877818395694195,True,18.878976073740795
158,4,2,512,False,4,8,8,4,128,21,2.897890354921435,8,8,1,RS,2,False,False,False,16,32,True,1,2,29,512,2,10,16,18,1,2.9301710000000005,4,False,0.052082774782071614,True,2.962451645078566
159,16,1,4,False,4,256,2,1,128,1,5.663210882693712,2,4,32,RS,2,True,False,True,1024,64,True,26,1,2,256,1,10,32,6,22,5.668202,4,False,0.00805285142045971,True,5.673193117306288
160,8,4,1024,False,1,32,32,16,1024,1,7.441253653318441,2048,1,32,RS,4,False,True,True,2048,256,False,1,21,17,2048,2,10,16,23,13,7.441684,1,False,0.0006943370939247693,True,7.44211434668156
161,1,8,1,False,8,32,16,128,16,1,7.8544336091285025,64,256,4,RS,4,False,False,True,64,16,True,29,1,8,1,2,10,512,28,2,7.856667,2,True,0.003603434611589224,True,7.858900390871497
162,4,2,256,False,4,1,4,16,128,1,6.20551465257764,4,4,4,RS,4,False,True,True,64,16,False,10,22,1,512,1,10,512,28,13,6.205727,16,False,0.0003426091067092907,True,6.205939347422361
163,2,1,64,False,4,64,64,1,64,19,3.4383709471513217,4,2,64,RS,1,True,False,False,16,64,False,14,27,1,256,1,10,32,6,1,3.4385260000000004,16,False,0.00025016794358994,True,3.438681052848679
164,8,8,32,False,2,2,8,512,256,1,7.821549181199069,32,8,32,RS,32,False,True,True,256,1,True,29,17,1,128,1,10,2048,15,16,8.269851,1,True,0.7233065698090954,True,8.71815281880093
165,8,2,32,False,4,128,512,1,2048,25,4.680443107826996,1,8,1024,RS,1,True,False,True,2048,2048,True,1,2,20,2048,1,10,64,1,12,4.748016,1,True,0.10902457853163194,True,4.815588892173004
166,1,2,16,False,16,256,128,2,2048,28,17.311687146802583,32,1,8,RS,8,True,True,True,512,2048,True,9,1,22,256,4,10,2048,1,2,17.33569,1,True,0.038727082255186944,True,17.359692853197416
167,2,4,256,False,4,2,16,256,2048,11,6.689090114110377,512,1,4,RS,4,True,True,True,512,512,False,1,1,20,64,8,10,512,9,1,6.6897210000000005,8,False,0.0010178943953084013,True,6.690351885889624
168,8,4,16,False,4,4,256,4,2048,12,5.652263295394948,2,8,256,RS,4,False,True,True,32,1,False,4,24,1,1024,16,10,2048,1,19,5.652851,2,False,0.0009482241296232584,True,5.653438704605052
169,4,4,1,False,1,2,1,8,128,5,6.054715900976638,1,512,1,RS,1,False,True,False,1024,512,False,20,1,13,16,32,10,2048,1,7,6.059264,2,True,0.007338069500897541,True,6.0638120990233615
170,2,16,1024,False,4,16,1,512,16,9,4.698132919370891,16,8,4,RS,1,True,False,False,2048,1,True,20,1,7,64,1,10,1024,1,6,4.704611000000001,32,False,0.010451972493266414,True,4.711089080629111
171,32,2,512,False,1,2,64,128,2048,1,2.784649929857113,2,4,4,RS,16,False,True,True,4,128,True,1,15,27,1,2,10,128,21,22,2.826841,4,True,0.0680726174684065,True,2.869032070142887
172,4,4,1024,False,4,8,2,1,64,2,4.760090346015631,16,32,2048,RS,4,True,False,False,256,2048,True,3,1,19,1,2,10,16,30,1,4.761855,16,False,0.002847157354274514,True,4.763619653984368
173,2,8,16,False,1,1,64,1,256,1,4.853898898975764,256,4,16,RS,8,False,False,True,512,2048,True,12,1,20,16,2,10,2048,3,2,5.3967730000000005,1,True,0.8758929528778047,True,5.939647101024237
174,4,2,1024,False,16,2,256,8,256,15,12.632031751464845,128,1,8,RS,2,False,False,True,1,2048,False,1,23,22,64,1,10,8,10,1,12.879530000000003,32,True,0.3993227367681435,True,13.12702824853516
175,4,1,16,False,16,2,256,4,1024,2,5.841790543119098,16,4,16,RS,4,True,False,False,64,2048,True,1,1,25,16,8,10,32,9,1,5.861288,1,True,0.031457910865154495,True,5.880785456880902
176,1,2,512,False,16,64,32,16,1024,10,3.5331249448957034,2,4,1,RS,1,True,True,False,2,512,True,1,4,6,2048,4,10,1024,1,25,3.5857279999999996,1,False,0.08487169525819552,True,3.6383310551042958
