id,SCREP,correct_result,T1_Ja,technique,mean_confidence_interval_inf,T1_I,T1_J,T1_Ia,U_K,U_J,U_I,T1_K,T1_Ka,runs,cost_mean,OMP,PAR,VEC,cost_std,mean_confidence_interval_sup,baseline
147,True,True,2048,RS,3.041421120273721,8,256,2048,7,1,12,256,1024,10,3.0416630000000002,False,False,True,0.0003902576072288456,3.0419048797262795,False
148,False,True,64,RS,0.6316429317322255,128,2,1024,1,3,24,2048,1,10,0.6346626000000001,True,False,True,0.004872043353665898,0.6376822682677746,False
149,False,True,1024,RS,1.9600695246635134,2,128,2048,21,3,1,1,2,10,1.9602709999999999,False,True,False,0.00032506768525954687,1.9604724753364864,False
150,False,True,2048,RS,0.15128734684515543,1,16,4,1,4,18,128,2048,10,0.1635441,True,False,False,0.019775494342493698,0.17580085315484456,False
151,False,True,1024,RS,0.37165333686221963,2,16,8,5,1,22,2,32,10,0.3856617,True,True,True,0.022601606027227356,0.39967006313778036,False
152,True,True,128,RS,0.11360073155823654,1,2,8,1,10,7,256,256,10,0.11622050000000002,True,True,False,0.00422683033134759,0.1188402684417635,False
153,False,True,1024,RS,1.1940253908192844,16,2,1024,12,1,6,32,512,10,1.196336,True,False,True,0.0037280214591657065,1.1986466091807157,False
154,False,True,1,RS,0.12625744328921218,16,512,16,1,6,18,4,1,10,0.1320786,True,False,True,0.009392067389025698,0.1378997567107878,False
155,False,True,512,RS,0.13999689320676945,256,16,256,3,1,6,1,2048,10,0.1497917,True,True,True,0.015803299934190954,0.15958650679323055,False
156,True,True,64,RS,5.087079147645775,16,2,2048,8,3,1,4,256,10,5.087998,False,True,True,0.0014825100336929406,5.088916852354225,False
157,False,True,64,RS,1.1241195778236186,2048,64,2048,14,1,9,1,512,10,1.124537,False,True,False,0.0006734842240171613,1.1249544221763812,False
158,False,True,128,RS,0.47791898293509993,256,2,1,9,1,1,32,128,10,0.48524120000000004,True,False,True,0.011813933128302362,0.49256341706490014,False
159,False,True,1,RS,2.0033167736183564,128,1024,2048,1,23,1,64,64,10,2.004861,True,False,True,0.0024915113886956803,2.0064052263816436,False
160,False,True,1024,RS,3.5537589537503482,256,1,2048,30,3,1,32,2048,10,3.5559760000000002,True,False,True,0.003577063600217314,3.5581930462496523,False
161,False,True,1024,RS,0.20317714525674974,16,64,32,3,23,1,8,256,10,0.21235379999999998,True,False,False,0.014805950782033561,0.22153045474325023,False
162,False,True,256,RS,2.0656201484721497,2,128,2048,4,2,1,128,1024,10,2.066192,False,True,False,0.0009226461943778931,2.0667638515278504,False
163,False,True,1024,RS,1.1679563520893643,8,16,1024,1,4,9,256,512,10,1.169929,True,False,False,0.00318274237097503,1.1719016479106357,False
164,False,True,8,RS,0.3466829438998493,2,1,512,1,5,2,64,64,10,0.3558985,True,False,True,0.014868715655698037,0.3651140561001507,False
165,True,True,1024,RS,0.534411866188335,1,8,1024,1,6,20,2048,2048,10,0.5399830999999999,True,True,False,0.00898883263221648,0.5455543338116648,False
166,True,True,1,RS,1.8556648282223918,128,1024,1024,28,1,3,16,1024,10,1.8558970000000001,False,True,False,0.00037459444736938255,1.8561291717776085,False
167,True,True,16,RS,0.36048620594781833,8,1,256,1,1,18,2,64,10,0.37138400000000005,True,True,False,0.017582899965591568,0.38228179405218177,False
168,True,True,1024,RS,1.1553256898330682,1,512,128,1,1,6,128,1024,10,1.155767,False,True,True,0.0007120259826719624,1.1562083101669318,False
169,True,True,512,RS,0.16768568113644083,16,64,256,5,16,1,256,256,10,0.1776566,True,False,False,0.01608744559711081,0.18762751886355916,False
170,False,True,64,RS,1.7217193093554584,8,4,512,2,1,4,16,128,10,1.722065,False,True,False,0.0005577499439713194,1.7224106906445416,False
171,False,True,64,RS,0.4350378219649887,4,4,16,3,7,1,4,256,10,0.43656310000000004,True,False,True,0.002460939432411936,0.4380883780350114,False
172,False,True,256,RS,0.8124871420671373,1,4,512,12,6,1,1,64,10,0.8219770000000001,True,False,True,0.01531128427663729,0.8314668579328628,False
