id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
274,64,10,128,32,4,0.46323499999999995,10,1,RS,0.46318635023526666,True,False,False,7.849331181698908e-05,True,0.46328364976473324,False
275,64,1,1024,1,2,inf,24,1,RS,inf,False,True,True,inf,True,inf,False
276,1,10,8,1,4,0.2149317,1,4,RS,0.21388000655461106,True,False,False,0.0016968407143865903,True,0.21598339344538894,False
277,512,1,2,8,4,inf,17,1,RS,inf,False,True,False,inf,False,inf,False
278,2048,1,512,16,16,inf,1,24,RS,inf,False,True,True,inf,True,inf,False
279,2,1,4,32,16,inf,29,1,RS,inf,False,True,True,inf,True,inf,False
280,2048,1,32,4,16,inf,1,27,RS,inf,False,True,False,inf,True,inf,False
281,128,1,1,2,8,inf,1,13,RS,inf,False,True,True,inf,True,inf,False
282,256,10,2048,1,2,0.4728540999999999,1,3,RS,0.47279776990538763,True,False,False,9.088503727237684e-05,False,0.47291043009461214,False
283,2048,1,8,32,4,inf,1,7,RS,inf,False,True,False,inf,False,inf,False
284,512,1,1,16,16,inf,7,1,RS,inf,False,True,True,inf,True,inf,False
285,1024,10,1,2,2,0.37135100000000004,1,6,RS,0.3712476602600005,True,False,True,0.00016673212048071915,False,0.3714543397399996,False
286,1,1,32,32,16,inf,9,1,RS,inf,False,True,False,inf,True,inf,False
287,16,1,4,4,16,inf,1,3,RS,inf,False,True,False,inf,False,inf,False
288,128,10,4,32,1,0.23138,19,1,RS,0.23136509138479383,True,False,True,2.405410567866192e-05,False,0.23139490861520617,False
289,1024,1,256,2,4,inf,16,1,RS,inf,False,True,True,inf,False,inf,False
290,4,1,128,32,16,inf,25,1,RS,inf,False,True,False,inf,True,inf,False
291,1,10,16,8,2,0.19662280000000001,24,1,RS,0.19659066639196782,True,False,True,5.184553982745131e-05,True,0.1966549336080322,False
292,16,1,32,1,4,inf,1,19,RS,inf,False,True,False,inf,True,inf,False
293,128,1,32,2,16,inf,1,29,RS,inf,False,True,False,inf,False,inf,False
294,128,10,2048,4,4,0.2247244,14,1,RS,0.22461781500323086,True,False,True,0.00017196813658349193,False,0.22483098499676912,False
295,2,1,1024,16,2,inf,30,1,RS,inf,False,True,False,inf,True,inf,False
296,16,10,512,32,8,0.9843573000000001,3,1,RS,0.9843038414299058,True,False,False,8.625201446921187e-05,True,0.9844107585700944,False
297,2048,1,256,32,32,inf,14,1,RS,inf,False,True,False,inf,False,inf,False
298,64,10,4,16,1,0.2089785,1,22,RS,0.2089497128725974,True,False,True,4.6446205442429747e-05,True,0.20900728712740263,False
299,1,1,2048,1,16,inf,5,1,RS,inf,False,True,True,inf,False,inf,False
300,2048,1,128,1,4,inf,20,1,RS,inf,False,True,True,inf,True,inf,False
301,1,10,1,1,1,0.20345719999999998,1,1,RS,0.20342346948106418,True,False,False,5.442205435298988e-05,False,0.20349093051893577,True
